Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
343,29A,FALSE,0,8,0,4A,4D,41,58,44,47,47,
346,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
350,362,FALSE,0,8,2,1,0,0,0,0,0,0,
353,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
356,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
359,362,FALSE,0,8,2,1,0,0,0,0,0,0,
362,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
365,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
369,362,FALSE,0,8,2,1,0,0,0,0,0,0,
372,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
375,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
379,362,FALSE,0,8,2,1,0,0,0,0,0,0,
382,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
386,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
390,362,FALSE,0,8,2,1,0,0,0,0,0,0,
393,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
396,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
399,362,FALSE,0,8,2,1,0,0,0,0,0,0,
402,286,FALSE,0,8,0,0,0,39,0,0,A,0,
405,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
409,373,FALSE,0,8,C5,C5,7F,51,C,BA,80,17,
413,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
416,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
419,362,FALSE,0,8,2,1,0,0,0,0,0,0,
422,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
425,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
430,362,FALSE,0,8,2,1,0,0,0,0,0,0,
433,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
436,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
439,362,FALSE,0,8,2,1,0,0,0,0,0,0,
442,29A,FALSE,0,8,1,32,57,48,5A,30,30,32,
446,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
449,362,FALSE,0,8,2,1,0,0,0,0,0,0,
452,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
456,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
459,362,FALSE,0,8,2,1,0,0,0,0,0,0,
462,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
466,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
470,362,FALSE,0,8,2,1,0,0,0,0,0,0,
473,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
476,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
479,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
483,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
486,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
490,362,FALSE,0,8,2,1,0,0,0,0,0,0,
493,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
496,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
500,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
503,630,FALSE,0,8,0,0,0,0,0,0,0,0,
506,669,FALSE,0,8,1,39,30,30,0,0,0,0,
510,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
514,6BD,FALSE,0,8,0,0,0,0,0,0,0,0,
517,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
520,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
524,668,FALSE,0,8,2,4B,4D,E6,61,0,0,0,
527,66A,FALSE,0,8,2,55,EC,48,D8,0,0,0,
531,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
534,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
538,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
541,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
544,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
548,287,FALSE,0,8,27,10,27,10,27,10,0,0,
551,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
556,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
559,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
563,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
566,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
569,362,FALSE,0,8,2,1,0,0,0,0,0,0,
