Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5438,388,FALSE,0,8,1,0,0,0,0,0,0,2,
5441,185,FALSE,0,8,8,0,15,0,0,0,3D,2C,
5444,373,FALSE,0,8,C5,C4,7C,38,C,B4,80,16,
5448,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
5452,28B,FALSE,0,8,27,10,4E,20,D,44,1,14,
5455,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5459,374,FALSE,0,8,CC,CF,4B,FE,48,44,3A,30,
5463,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
5467,377,FALSE,0,8,5,BB,1,F,41,3F,3D,22,
5470,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
5474,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5477,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
5481,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
5484,373,FALSE,0,8,C5,C4,7C,2E,C,B4,80,16,
5488,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
5491,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
5494,373,FALSE,0,8,C5,C4,7C,28,C,B4,80,16,
5498,299,FALSE,0,8,39,39,41,3E,3B,0,0,0,
5502,28B,FALSE,0,8,27,10,4E,20,D,44,1,14,
5506,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5510,630,FALSE,0,8,0,0,0,0,0,0,0,0,
5513,669,FALSE,0,8,2,0,0,0,0,0,0,0,
5516,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5519,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
5523,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
5526,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
5530,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
5533,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5537,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5540,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
5544,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5548,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
5551,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
5554,373,FALSE,0,8,C5,C4,7C,1D,C,B4,80,16,
5558,38A,FALSE,0,8,41,3C,0,0,4,0,0,0,
5561,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
5565,373,FALSE,0,8,C5,C4,7C,18,C,B4,80,16,
5569,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
5572,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
5575,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5579,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
5582,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
5586,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
5590,207,FALSE,0,8,0,0,0,0,0,0,0,0,
5593,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5596,569,FALSE,0,8,AA,82,A2,2,0,0,0,0,
5600,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
5603,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
5607,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
5610,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
5613,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5616,568,FALSE,0,8,0,2,80,A,0,0,A8,AA,
5620,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
5623,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5626,6FA,FALSE,0,8,0,4A,4D,41,58,44,47,47,
5630,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
5634,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5637,563,FALSE,0,8,AA,AA,AA,AA,A2,2A,0,0,
5641,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
5644,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5648,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5651,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
5654,373,FALSE,0,8,C5,C4,7C,1,C,B4,80,16,
5658,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5661,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
5665,373,FALSE,0,8,C5,C4,7B,FB,C,B4,80,16,
5668,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
5672,188,FALSE,0,8,3,50,A2,4C,0,0,0,0,
5676,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5680,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
5683,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
5687,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
5690,207,FALSE,0,8,0,0,0,0,0,0,C,0,
5693,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5696,664,FALSE,0,8,2,83,6,32,F3,0,0,0,
5700,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
5703,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5706,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
5710,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
5713,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5716,663,FALSE,0,8,2,0,0,0,0,0,0,0,
5721,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
5724,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5727,6FA,FALSE,0,8,1,32,57,48,5A,30,30,32,
5731,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
5734,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5737,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5740,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
5744,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5747,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5750,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
5754,373,FALSE,0,8,C5,C4,7B,E5,C,B3,80,16,
5758,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5762,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
5766,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5769,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
5773,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
5776,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5780,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
5783,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
5786,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
5790,207,FALSE,0,8,0,0,0,0,0,0,C,0,
5793,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5796,569,FALSE,0,8,AA,82,A2,2,0,0,0,0,
5799,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
5804,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
5807,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
5811,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
5814,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5817,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5821,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
5825,373,FALSE,0,8,C5,C4,7B,CD,C,B3,80,16,
5828,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5832,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
5835,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5839,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
5842,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
5847,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
5851,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
5854,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5857,38A,FALSE,0,8,41,3C,0,0,4,0,0,0,
5860,374,FALSE,0,8,CC,CF,4B,FE,48,44,3A,30,
5864,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5867,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
5870,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
5874,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5877,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5880,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
5884,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5888,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5891,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
5895,373,FALSE,0,8,C5,C4,7B,BC,C,B3,80,16,
5899,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5902,185,FALSE,0,8,8,0,15,0,0,0,47,2C,
5905,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5909,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
5913,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
5916,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5920,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
5923,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5926,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
5931,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
5935,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5938,388,FALSE,0,8,1,0,0,0,0,0,0,2,
5941,75B,FALSE,0,8,39,0,39,0,36,4A,A0,39,
5944,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5948,676,FALSE,0,8,0,0,0,0,0,0,0,0,
5951,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
5954,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5957,677,FALSE,0,8,0,0,0,0,0,0,0,0,
5960,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
5964,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5967,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5970,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
5975,362,FALSE,0,8,2,1,0,0,0,0,0,0,
5978,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5981,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
5985,373,FALSE,0,8,C5,C4,7B,A2,C,B3,80,16,
5989,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
5992,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
5996,287,FALSE,0,8,27,10,27,10,27,10,0,0,
5999,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6003,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
6006,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6010,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6013,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6017,568,FALSE,0,8,0,2,80,A,0,0,A8,AA,
6020,6BD,FALSE,0,8,0,0,0,0,0,0,0,0,
6023,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
6027,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6030,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6033,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6036,563,FALSE,0,8,AA,AA,AA,AA,A2,2A,0,0,
6040,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
6044,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6047,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6050,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6054,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6057,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6061,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
6065,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6068,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6072,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
6075,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6079,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6082,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
6086,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6089,207,FALSE,0,8,0,0,0,0,0,0,C,0,
6092,371,FALSE,0,8,3B,0,0,0,0,0,0,0,
6095,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6099,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6103,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
6107,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6111,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6114,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6117,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6120,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6124,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6127,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
6131,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6134,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6137,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6140,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
6145,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6148,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6151,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6155,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6158,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6162,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
6165,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6169,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
6172,28B,FALSE,0,8,27,10,4E,20,D,44,1,14,
6176,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6180,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6183,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
6188,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6191,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6195,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6198,154,FALSE,0,8,66,66,70,66,A,E,74,3C,
6201,298,FALSE,0,8,39,39,41,39,3A,0,0,39,
6205,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6208,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6211,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
6215,373,FALSE,0,8,C5,C4,7B,85,C,B2,80,16,
6219,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
6222,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
6226,398,FALSE,0,8,1,4B,2F,4C,51,20,0,0,
6230,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
6234,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
6237,563,FALSE,0,8,AA,AA,AA,AA,A2,2A,0,0,
6241,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
6245,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6248,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6251,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6255,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6258,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6261,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
6265,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6268,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6273,188,FALSE,0,8,3,50,A2,4C,0,0,0,0,
6276,373,FALSE,0,8,C5,C4,7B,88,C,B2,80,16,
6280,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6283,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
6287,373,FALSE,0,8,C5,C4,7B,8B,C,B2,80,16,
6290,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6294,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6297,373,FALSE,0,8,C5,C4,7B,8B,C,B2,80,16,
6300,286,FALSE,0,8,0,0,0,39,0,0,A,0,
6304,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
6307,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6310,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6313,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6318,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6321,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6325,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6328,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
6331,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6335,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6339,388,FALSE,0,8,1,0,0,0,0,0,0,2,
6342,185,FALSE,0,8,8,0,15,0,0,0,4A,2C,
6345,373,FALSE,0,8,C5,C4,7B,97,C,B2,80,16,
6349,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6352,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6356,373,FALSE,0,8,C5,C4,7B,97,C,B2,80,16,
6360,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6364,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
6367,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6371,375,FALSE,0,8,8,8,0,27,EB,0,0,0,
6374,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6377,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
6381,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6384,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
6388,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6391,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6395,373,FALSE,0,8,C5,C4,7B,A9,C,B2,80,16,
6398,154,FALSE,0,8,66,66,70,66,A,E,74,3C,
6403,185,FALSE,0,8,8,0,15,0,0,0,4A,2C,
6406,373,FALSE,0,8,C5,C4,7B,A9,C,B2,80,16,
6410,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
6414,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
6417,568,FALSE,0,8,0,2,80,A,0,0,A8,AA,
6421,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6424,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
6427,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
6431,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6435,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6438,388,FALSE,0,8,1,0,0,0,0,0,0,2,
6441,185,FALSE,0,8,8,0,15,0,0,0,48,2C,
6446,373,FALSE,0,8,C5,C4,7B,B5,C,B3,80,16,
6449,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
6453,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6457,373,FALSE,0,8,C5,C4,7B,B5,C,B3,80,16,
6460,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6464,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
6467,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6471,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6474,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6477,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
6481,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
6486,373,FALSE,0,8,C5,C4,7B,C2,C,B3,80,16,
6489,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6493,371,FALSE,0,8,3C,0,0,0,0,0,0,0,
6496,373,FALSE,0,8,C5,C4,7B,C2,C,B3,80,16,
6500,299,FALSE,0,8,39,39,41,3E,3B,0,0,0,
6503,29B,FALSE,0,8,39,39,41,39,3A,A,14,39,
6507,373,FALSE,0,8,C5,C4,7B,C9,C,B3,80,16,
6510,630,FALSE,0,8,0,0,0,0,0,0,0,0,
6513,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6517,62D,FALSE,0,8,0,0,0,0,0,0,0,0,
6520,6BD,FALSE,0,8,0,0,0,0,0,0,0,0,
6523,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
6526,398,FALSE,0,8,1,45,2B,4C,51,20,0,0,
6531,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6534,66A,FALSE,0,8,2,55,EC,48,D8,0,0,0,
6537,373,FALSE,0,8,C5,C4,7B,D4,C,B3,80,16,
6541,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
6545,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
6548,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6551,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6555,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6559,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6562,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
6566,373,FALSE,0,8,C5,C4,7B,DB,C,B3,80,16,
6569,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
6574,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
6577,373,FALSE,0,8,C5,C4,7B,DB,C,B3,80,16,
6581,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6584,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6587,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6591,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6594,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6597,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6600,286,FALSE,0,8,0,0,0,39,0,0,A,0,
6604,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6607,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6610,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6614,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6617,568,FALSE,0,8,0,2,80,A,0,0,A8,AA,
6621,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6624,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
6628,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6631,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6634,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6638,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6641,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
6645,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6649,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
6652,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6657,373,FALSE,0,8,C5,C4,7B,FA,C,B3,80,16,
6660,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6664,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
6667,373,FALSE,0,8,C5,C4,7C,3,C,B3,80,16,
6671,375,FALSE,0,8,8,8,0,27,EA,0,0,0,
6674,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6677,389,FALSE,0,8,A2,0,0,3C,3C,40,0,0,
6681,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6684,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6687,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6691,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6694,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6697,664,FALSE,0,8,2,83,6,32,F3,0,0,0,
6701,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6705,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
6708,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6712,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
6715,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6719,663,FALSE,0,8,1,33,30,30,0,0,0,0,
6722,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
6726,398,FALSE,0,8,1,3F,27,4C,51,20,0,0,
6729,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
6733,28B,FALSE,0,8,27,10,4E,20,D,44,1,14,
6736,373,FALSE,0,8,C5,C4,7C,1B,C,B3,80,16,
6740,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
6745,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6748,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6751,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6755,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6758,38A,FALSE,0,8,41,3C,0,0,4,0,0,0,
6761,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
6765,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6769,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6772,188,FALSE,0,8,3,50,A2,4C,0,0,0,0,
6775,373,FALSE,0,8,C5,C4,7C,2B,C,B4,80,16,
6779,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
6784,28B,FALSE,0,8,27,10,4E,20,D,44,1,14,
6787,373,FALSE,0,8,C5,C4,7C,32,C,B4,80,16,
6791,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6794,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6797,569,FALSE,0,8,AA,82,A2,2,0,0,0,0,
6801,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6804,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
6808,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6811,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6814,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6818,568,FALSE,0,8,0,2,80,A,0,0,A8,AA,
6821,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
6824,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6829,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
6833,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
6836,373,FALSE,0,8,C5,C4,7C,42,C,B4,80,16,
6840,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
6844,28B,FALSE,0,8,27,10,4E,20,D,44,1,14,
6847,373,FALSE,0,8,C5,C4,7C,49,C,B4,80,16,
6851,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
6854,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6857,38A,FALSE,0,8,41,3C,0,0,4,0,0,0,
6860,374,FALSE,0,8,CC,CF,4B,FE,48,44,3A,30,
6864,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
6868,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6872,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
6876,287,FALSE,0,8,27,10,27,10,27,10,0,0,
6879,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
6883,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
6886,373,FALSE,0,8,C5,C4,7C,58,C,B4,80,16,
6890,207,FALSE,0,8,0,0,0,0,0,0,C,0,
6893,28B,FALSE,0,8,27,10,4E,20,D,44,1,14,
6897,373,FALSE,0,8,C5,C4,7C,58,C,B4,80,16,
6900,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
6904,362,FALSE,0,8,2,1,0,0,0,0,0,0,
6907,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
6910,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
6915,362,FALSE,0,8,2,1,0,0,0,0,0,0,
