Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1725172529664130,000005D6,false,Rx,0,8,B9,B9,00,00,0A,0C,2D,A9,
-1725172529663876,000005D7,false,Rx,0,8,02,24,00,00,00,00,00,00,
-1725172529663637,000005D8,false,Rx,0,8,A0,6E,04,00,00,00,35,0E,
-1725172529568029,00000594,false,Rx,0,8,F0,41,F0,41,A0,6A,04,20,
-1725172529567775,00000491,false,Rx,0,8,00,00,00,00,00,00,00,0A,
-1725172529567537,00000493,false,Rx,0,8,00,0B,80,69,72,00,00,00,
-1725172529567293,000004DD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529567054,000004DE,false,Rx,0,8,00,F1,0A,00,F1,C5,1D,00,
-1725172529566802,000004E2,false,Rx,0,8,00,00,00,00,00,00,C0,9D,
-1725172529566565,00000542,false,Rx,0,8,6E,0C,00,00,00,00,FF,FF,
-1725172529566326,00000595,false,Rx,0,8,0A,00,B9,B9,00,00,35,0E,
-1725172529566084,00000596,false,Rx,0,8,25,76,00,00,00,00,0A,0C,
-1725172529565845,00000597,false,Rx,0,8,89,00,00,00,00,00,00,80,
-1725172529565591,00000598,false,Rx,0,8,00,00,00,00,00,00,F1,12,
-1725172529565352,00000599,false,Rx,0,8,08,80,00,00,00,00,00,80,
-1725172529565094,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529564856,0000059E,false,Rx,0,8,00,00,00,00,35,0E,00,00,
-1725172529564616,000005A3,false,Rx,0,8,0F,00,00,00,00,00,00,00,
-1725172529564362,000005D5,false,Rx,0,8,00,00,00,A0,C8,A0,00,04,
-1725172529564136,000005D6,false,Rx,0,8,B9,B9,00,00,0A,0C,2D,A8,
-1725172529563897,000005D7,false,Rx,0,8,02,24,00,00,00,00,00,00,
-1725172529563643,000005D8,false,Rx,0,8,A0,6E,04,00,00,00,35,0E,
-1725172529504293,00000250,false,Rx,0,8,03,16,00,66,02,80,02,09,
-1725172529504023,00000290,false,Rx,0,8,06,37,10,D9,00,00,00,00,
-1725172529503769,000002D0,false,Rx,0,8,00,42,59,44,00,00,00,00,
-1725172529503516,000003D0,false,Rx,0,8,00,42,61,74,74,65,72,79,
-1725172529503273,000003D0,false,Rx,0,8,01,2D,42,6F,78,20,50,72,
-1725172529503017,000003D0,false,Rx,0,8,02,65,6D,69,75,6D,20,48,
-1725172529502764,000003D0,false,Rx,0,8,03,56,53,00,00,00,00,00,
-1725172529468058,00000594,false,Rx,0,8,D2,41,D2,41,A0,6A,04,20,
-1725172529467804,00000491,false,Rx,0,8,00,00,00,00,00,00,00,0A,
-1725172529467568,00000493,false,Rx,0,8,00,0B,80,69,72,00,00,00,
-1725172529467311,000004DD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529467074,000004DE,false,Rx,0,8,00,F1,0A,00,F1,C5,1D,00,
-1725172529466838,000004E2,false,Rx,0,8,00,00,00,00,00,00,C0,9D,
-1725172529466586,00000542,false,Rx,0,8,6E,0C,00,00,00,00,FF,FF,
-1725172529466329,00000553,false,Rx,0,8,04,00,80,00,00,00,80,00,
-1725172529466110,00000595,false,Rx,0,8,0A,00,B9,B9,00,00,35,0E,
-1725172529465857,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529465605,00000596,false,Rx,0,8,2D,76,00,00,00,00,0A,0C,
-1725172529465368,00000200,false,Rx,0,8,00,80,D8,04,00,17,D0,00,
-1725172529465128,00000597,false,Rx,0,8,09,00,00,00,00,00,00,80,
-1725172529464891,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529464640,00000598,false,Rx,0,8,00,00,00,00,91,41,F1,12,
-1725172529464388,00000524,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529464150,00000599,false,Rx,0,8,08,80,00,00,00,00,00,80,
