ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	
1	0	48931	RX	565278390		0x0000011a	8	0x01 40 00 aa c0 00 00 03 	
1	0	48932	RX	565278392		0x000001db	8	0x00 00 c0 ea 00 00 01 a3 	
1	0	48933	RX	565278393		0x000001dc	8	0x3f 01 4f fd 01 05 09 d7 	
1	0	48934	RX	565278393		0x000001d4	8	0xf7 07 00 00 07 46 00 7b 	
1	0	48935	RX	565278393		0x000001f2	8	0x10 64 00 00 00 1e 00 0c 	
1	0	48936	RX	565278394		0x0000050a	6	0x85 72 a0 0e 80 20 	
1	0	48937	RX	565278397		0x000001da	8	0xc2 64 18 00 00 01 03 2c 	
1	0	48938	RX	565278401		0x0000011a	8	0x01 40 00 55 00 00 01 15 	
1	0	48939	RX	565278402		0x000001db	8	0x00 00 c0 ea 00 00 02 a9 	
1	0	48940	RX	565278403		0x000001dc	8	0x3f 01 4f fd 05 38 c6 b1 	
1	0	48941	RX	565278403		0x000001d4	8	0xf7 07 00 00 47 46 00 bc 	
1	0	48942	RX	565278404		0x000001f2	8	0x10 64 00 00 00 1e 01 0d 	
1	0	48943	RX	565278404		0x00000284	8	0x00 00 00 00 00 00 5a e0 	
1	0	48944	RX	565278407		0x000001da	8	0xc2 64 18 00 00 01 00 26 	
1	0	48945	RX	565278411		0x0000011a	8	0x01 40 00 55 40 00 02 d8 	
1	0	48946	RX	565278412		0x000001db	8	0x00 00 c0 ea 00 00 03 2c 	
1	0	48947	RX	565278413		0x000001dc	8	0x3f 01 4f fd 08 c4 c3 e3 	
1	0	48948	RX	565278414		0x000001d4	8	0xf7 07 00 00 87 46 00 70 	
1	0	48949	RX	565278414		0x000001f2	8	0x10 64 00 00 00 1e 02 0e 	
1	0	48950	RX	565278414		0x0000050b	6	0x00 00 06 c0 00 60 	
1	0	48951	RX	565278417		0x000001da	8	0xc2 64 18 00 00 01 01 a3 	
1	0	48952	RX	565278421		0x0000011a	8	0x01 40 00 aa 80 00 03 ce 	
1	0	48953	RX	565278422		0x000001db	8	0x00 00 c0 ea 00 00 00 26 	
1	0	48954	RX	565278423		0x000001dc	8	0x3f 01 4f fd 0c dc c8 d9 	
1	0	48955	RX	565278424		0x000001d4	8	0xf7 07 00 00 c7 46 00 b7 	
1	0	48956	RX	565278424		0x000001f2	8	0x10 64 00 00 00 1e 03 0f 	
1	0	48957	RX	565278424		0x00000284	8	0x00 00 00 00 00 00 5b e1 	
1	0	48958	RX	565278427		0x000001da	8	0xc2 64 18 00 00 01 02 a9 	
1	0	48959	RX	565278431		0x0000011a	8	0x01 40 00 aa c0 00 00 03 	
1	0	48960	RX	565278432		0x000001db	8	0x00 00 c0 ea 00 00 01 a3 	
1	0	48961	RX	565278433		0x000001dc	8	0x3f 01 4f fd 01 05 09 d7 	
1	0	48962	RX	565278434		0x000001d4	8	0xf7 07 00 00 07 46 00 7b 	
1	0	48963	RX	565278434		0x000001f2	8	0x10 64 00 00 00 1e 00 0c 	
1	0	48964	RX	565278437		0x000001da	8	0xc2 64 18 00 00 01 03 2c 	
1	0	48965	RX	565278441		0x0000011a	8	0x01 40 00 55 00 00 01 15 	
1	0	48966	RX	565278442		0x000001db	8	0x00 00 c0 ea 00 00 02 a9 	
1	0	48967	RX	565278443		0x000001dc	8	0x3f 01 4f fd 05 38 c6 b1 	
1	0	48968	RX	565278444		0x0000054a	8	0x12 00 70 06 31 00 00 2d 	
1	0	48969	RX	565278444		0x000001d4	8	0xf7 07 00 00 47 46 00 bc 	
1	0	48970	RX	565278445		0x000001f2	8	0x10 64 00 00 00 1e 01 0d 	
1	0	48971	RX	565278445		0x00000284	8	0x00 00 00 00 00 00 5c e2 	
1	0	48972	RX	565278445		0x0000054b	8	0x00 78 98 12 2c 00 00 00 	
1	0	48973	RX	565278445		0x00000380	8	0x02 04 10 21 00 00 00 b0 	
1	0	48974	RX	565278445		0x0000056e	1	0x46 	
1	0	48975	RX	565278446		0x000005bf	8	0x00 00 00 00 28 00 00 09 	
1	0	48976	RX	565278446		0x0000054c	8	0x6a 66 40 00 00 58 5a 00 	
1	0	48977	RX	565278447		0x000001da	8	0xc2 64 18 00 00 01 00 26 	
1	0	48978	RX	565278447		0x0000054f	8	0x21 65 00 00 07 00 8a 21 	
1	0	48979	RX	565278447		0x0000055a	8	0x00 2e 2a 00 5f 2e 5b 68 	
1	0	48980	RX	565278451		0x0000011a	8	0x01 40 00 55 40 00 02 d8 	
1	0	48981	RX	565278453		0x000001db	8	0x00 20 c0 ea 00 00 03 7d 	
1	0	48982	RX	565278453		0x000001dc	8	0x3f 01 4f fd 08 c4 c3 e3 	
1	0	48983	RX	565278453		0x0000055b	8	0xbb c0 55 00 de 80 11 ad 	
1	0	48984	RX	565278455		0x000001d4	8	0xf7 07 00 00 87 46 00 70 	
1	0	48985	RX	565278455		0x000001f2	8	0x10 64 00 00 00 1e 02 0e 	
1	0	48986	RX	565278457		0x000001da	8	0xc2 64 18 00 00 01 01 a3 	
1	0	48987	RX	565278461		0x0000011a	8	0x01 40 00 aa 80 00 03 ce 	
1	0	48988	RX	565278462		0x000001db	8	0x00 20 c0 ea 00 00 00 77 	
1	0	48989	RX	565278463		0x000001dc	8	0x3f 01 4f fd 0c dc c8 d9 	
1	0	48990	RX	565278465		0x000001d4	8	0xf7 07 00 00 c7 46 00 b7 	
1	0	48991	RX	565278465		0x000001f2	8	0x10 64 00 00 00 1e 03 0f 	
1	0	48992	RX	565278465		0x00000284	8	0x00 00 00 00 00 00 5d e3 	
1	0	48993	RX	565278467		0x000001da	8	0xc2 64 18 00 00 01 02 a9 	
1	0	48994	RX	565278470		0x0000011a	8	0x01 40 00 aa c0 00 00 03 	
1	0	48995	RX	565278472		0x000001db	8	0x00 20 c0 ea 00 00 01 f2 	
1	0	48996	RX	565278473		0x000001dc	8	0x3f 01 4f fd 01 05 09 d7 	
1	0	48997	RX	565278475		0x000001d4	8	0xf7 07 00 00 07 46 00 7b 	
1	0	48998	RX	565278475		0x000001f2	8	0x10 64 00 00 00 1e 00 0c 	
1	0	48999	RX	565278476		0x0000050c	6	0x00 00 00 00 b2 a6 	
1	0	49000	RX	565278477		0x000001da	8	0xc2 64 18 00 00 01 03 2c 	
1	0	49001	RX	565278481		0x0000011a	8	0x01 40 00 55 00 00 01 15 	
1	0	49002	RX	565278482		0x000001db	8	0x00 20 c0 ea 00 00 02 f8 	
1	0	49003	RX	565278483		0x000001dc	8	0x3f 01 4f fd 05 38 c6 b1 	
1	0	49004	RX	565278485		0x000001d4	8	0xf7 07 00 00 47 46 00 bc 	
1	0	49005	RX	565278486		0x000001f2	8	0x10 64 00 00 00 1e 01 0d 	
1	0	49006	RX	565278486		0x00000284	8	0x00 00 00 00 00 00 5e e4 	
1	0	49007	RX	565278486		0x0000054a	8	0xa0 00 70 07 32 00 00 2d 	
1	0	49008	RX	565278486		0x000005a9	8	0x79 0d 70 0e 03 10 00 00 	
1	0	49009	RX	565278487		0x000001da	8	0xc2 64 18 00 00 01 00 26 	
1	0	49010	RX	565278487		0x0000054b	8	0x00 78 98 12 2c 00 00 01 	
1	0	49011	RX	565278488		0x0000054c	8	0x6a 66 40 00 00 58 5a 00 	
1	0	49012	RX	565278489		0x0000054f	8	0x21 71 00 00 07 40 8a 21 	
1	0	49013	RX	565278491		0x0000011a	8	0x01 40 00 55 40 00 02 d8 	
1	0	49014	RX	565278492		0x000001db	8	0x00 20 c0 ea 00 00 03 7d 	
1	0	49015	RX	565278493		0x000001dc	8	0x3f 01 4f fd 08 c4 c3 e3 	
1	0	49016	RX	565278496		0x000001d4	8	0xf7 07 00 00 87 46 00 70 	
1	0	49017	RX	565278496		0x000001f2	8	0x10 64 00 00 00 1e 02 0e 	
1	0	49018	RX	565278496		0x0000050a	6	0x85 12 a0 0e 80 20 	
1	0	49019	RX	565278497		0x000001da	8	0xc2 64 18 00 00 01 01 a3 	
1	0	49020	RX	565278501		0x0000011a	8	0x01 40 00 aa 80 00 03 ce 	
1	0	49021	RX	565278502		0x000001db	8	0x00 20 c0 ea 00 00 00 77 	
1	0	49022	RX	565278503		0x000001dc	8	0x3f 01 4f fd 0c dc c8 d9 	
1	0	49023	RX	565278506		0x000001d4	8	0xf7 07 00 00 c7 46 00 b7 	
1	0	49024	RX	565278506		0x000001f2	8	0x10 64 00 00 00 1e 03 0f 	
1	0	49025	RX	565278506		0x00000284	8	0x00 00 00 00 00 00 5f e5 	
1	0	49026	RX	565278507		0x000001da	8	0xc2 64 18 00 00 01 02 a9 	
1	0	49027	RX	565278511		0x0000011a	8	0x01 40 00 aa c0 00 00 03 	
1	0	49028	RX	565278512		0x000001db	8	0x00 20 c0 ea 00 00 01 f2 	
1	0	49029	RX	565278513		0x000001dc	8	0x3f 01 4f fd 01 05 09 d7 	
1	0	49030	RX	565278516		0x000001d4	8	0xf7 07 00 00 07 46 00 7b 	
1	0	49031	RX	565278516		0x000001f2	8	0x10 64 00 00 00 1e 00 0c 	
1	0	49032	RX	565278517		0x0000050b	6	0x00 00 06 c0 00 60 	
1	0	49033	RX	565278517		0x000001da	8	0xc2 64 18 00 00 01 03 2c 	
1	0	49034	RX	565278521		0x0000011a	8	0x01 40 00 55 00 00 01 15 	
1	0	49035	RX	565278522		0x000001db	8	0x00 20 c0 ea 00 00 02 f8 	
1	0	49036	RX	565278523		0x000001dc	8	0x3f 01 4f fd 05 38 c6 b1 	
1	0	49037	RX	565278526		0x000001d4	8	0xf7 07 00 00 47 46 00 bc 	
1	0	49038	RX	565278527		0x000001f2	8	0x10 64 00 00 00 1e 01 0d 	
1	0	49039	RX	565278527		0x00000284	8	0x00 00 00 00 00 00 60 e6 	
1	0	49040	RX	565278527		0x000001da	8	0xc2 64 18 00 00 01 00 26 	
1	0	49041	RX	565278531		0x0000011a	8	0x01 40 00 55 40 00 02 d8 	
1	0	49042	RX	565278532		0x000001db	8	0x00 20 c0 ea 00 00 03 7d 	
1	0	49043	RX	565278533		0x000001dc	8	0x3f 01 4f fd 08 c4 c3 e3 	
1	0	49044	RX	565278537		0x000001d4	8	0xf7 07 00 00 87 46 00 70 	
1	0	49045	RX	565278537		0x000001f2	8	0x10 64 00 00 00 1e 02 0e 	
1	0	49046	RX	565278537		0x000001da	8	0xc2 64 18 00 00 01 01 a3 	
1	0	49047	RX	565278541		0x0000011a	8	0x01 40 00 aa 80 00 03 ce 	
1	0	49048	RX	565278542		0x000001db	8	0x00 00 c0 ea 00 00 00 26 	
1	0	49049	RX	565278543		0x000001dc	8	0x3f 01 4f fd 0c dc c8 d9 	
1	0	49050	RX	565278545		0x00000380	8	0x02 04 10 21 00 00 00 8d 	
1	0	49051	RX	565278546		0x000005bf	8	0x00 00 00 00 28 00 00 1a 	
1	0	49052	RX	565278547		0x000001d4	8	0xf7 07 00 00 c7 46 00 b7 	
1	0	49053	RX	565278547		0x000001da	8	0xc2 64 18 00 00 01 02 a9 	
1	0	49054	RX	565278547		0x000001f2	8	0x10 64 00 00 00 1e 03 0f 	
1	0	49055	RX	565278548		0x00000284	8	0x00 00 00 00 00 00 61 e7 	
1	0	49056	RX	565278548		0x0000055a	8	0x00 2e 2a 00 5f 2e 5b 68 	
1	0	49057	RX	565278548		0x0000056e	1	0x46 	
1	0	49058	RX	565278550		0x0000011a	8	0x01 40 00 aa c0 00 00 03 	
1	0	49059	RX	565278553		0x000001db	8	0x00 00 c0 ea 00 00 01 a3 	
1	0	49060	RX	565278553		0x000001dc	8	0x3f 01 4f fd 01 05 09 d7 	
1	0	49061	RX	565278553		0x0000055b	8	0xbb c0 55 00 de 80 12 a7 	
1	0	49062	RX	565278557		0x000001da	8	0xc2 64 18 00 00 01 03 2c 	
1	0	49063	RX	565278557		0x000001d4	8	0xf7 07 00 00 07 46 00 7b 	
1	0	49064	RX	565278557		0x000001f2	8	0x10 64 00 00 00 1e 00 0c 	
1	0	49065	RX	565278558		0x000005b9	5	0x58 78 30 b4 28 	
1	0	49066	RX	565278561		0x0000011a	8	0x01 40 00 55 00 00 01 15 	
1	0	49067	RX	565278563		0x000001db	8	0x00 00 c0 ea 00 00 02 a9 	
1	0	49068	RX	565278563		0x000001dc	8	0x3f 01 4f fd 05 38 c6 b1 	
1	0	49069	RX	565278563		0x000005bc	8	0x1b c3 2b 2b 66 45 40 1e 	
1	0	49070	RX	565278563		0x000005c0	8	0x40 56 56 00 3c 0c 00 02 	
1	0	49071	RX	565278567		0x000001da	8	0xc2 64 18 00 00 01 00 26 	
1	0	49072	RX	565278567		0x000001d4	8	0xf7 07 00 00 47 46 00 bc 	
1	0	49073	RX	565278568		0x000001f2	8	0x10 64 00 00 00 1e 01 0d 	
1	0	49074	RX	565278568		0x00000284	8	0x00 00 00 00 00 00 62 e8 	
1	0	49075	RX	565278571		0x0000011a	8	0x01 40 00 55 40 00 02 d8 	
1	0	49076	RX	565278572		0x000001db	8	0x00 00 c0 ea 00 00 03 2c 	
1	0	49077	RX	565278573		0x000001dc	8	0x3f 01 4f fd 08 c4 c3 e3 	
1	0	49078	RX	565278577		0x000001da	8	0xc2 64 18 00 00 01 01 a3 	
1	0	49079	RX	565278578		0x000001d4	8	0xf7 07 00 00 87 46 00 70 	
1	0	49080	RX	565278578		0x000001f2	8	0x10 64 00 00 00 1e 02 0e 	
1	0	49081	RX	565278578		0x0000050c	6	0x00 00 00 01 b2 31 	
1	0	49082	RX	565278581		0x0000011a	8	0x01 40 00 aa 80 00 03 ce 	
1	0	49083	RX	565278582		0x000001db	8	0x00 00 c0 ea 00 00 00 26 	
1	0	49084	RX	565278583		0x000001dc	8	0x3f 01 4f fd 0c dc c8 d9 	
1	0	49085	RX	565278584		0x0000054a	8	0x12 00 70 07 32 00 00 2d 	
1	0	49086	RX	565278585		0x0000054b	8	0x00 78 98 12 2c 00 00 01 	
1	0	49087	RX	565278586		0x0000054c	8	0x6a 66 40 00 00 58 5a 00 	
1	0	49088	RX	565278587		0x000001da	8	0xc2 64 18 00 00 01 02 a9 	
1	0	49089	RX	565278587		0x0000054f	8	0x21 75 00 00 07 80 8a 21 	
1	0	49090	RX	565278588		0x000001d4	8	0xf7 07 00 00 c7 46 00 b7 	
1	0	49091	RX	565278588		0x000001f2	8	0x10 64 00 00 00 1e 03 0f 	
1	0	49092	RX	565278588		0x00000284	8	0x00 00 00 00 00 00 63 e9 	
1	0	49093	RX	565278590		0x0000011a	8	0x01 40 00 aa c0 00 00 03 	
1	0	49094	RX	565278592		0x000001db	8	0x00 00 c0 ea 00 00 01 a3 	
1	0	49095	RX	565278593		0x000001dc	8	0x3f 01 4f fd 01 05 09 d7 	
1	0	49096	RX	565278597		0x000001da	8	0xc2 64 18 00 00 01 03 2c 	
1	0	49097	RX	565278598		0x000001d4	8	0xf7 07 00 00 07 46 00 7b 	
1	0	49098	RX	565278598		0x000001f2	8	0x10 64 00 00 00 1e 00 0c 	
1	0	49099	RX	565278598		0x0000050a	6	0x85 32 a0 0e 80 20 	
1	0	49100	RX	565278601		0x0000011a	8	0x01 40 00 55 00 00 01 15 	
1	0	49101	RX	565278602		0x000001db	8	0x00 20 c0 ea 00 00 02 f8 	
1	0	49102	RX	565278603		0x000001dc	8	0x3f 01 4f fd 05 38 c6 b1 	
1	0	49103	RX	565278607		0x000001da	8	0xc2 64 18 00 00 01 00 26 	
1	0	49104	RX	565278608		0x000001d4	8	0xf7 07 00 00 47 46 00 bc 	
1	0	49105	RX	565278609		0x000001f2	8	0x10 64 00 00 00 1e 01 0d 	
1	0	49106	RX	565278609		0x00000284	8	0x00 00 00 00 00 00 64 ea 	
1	0	49107	RX	565278611		0x0000011a	8	0x01 40 00 55 40 00 02 d8 	
1	0	49108	RX	565278612		0x000001db	8	0x00 20 c0 ea 00 00 03 7d 	
1	0	49109	RX	565278613		0x000001dc	8	0x3f 01 4f fd 08 c4 c3 e3 	
1	0	49110	RX	565278617		0x000001da	8	0xc2 64 18 00 00 01 01 a3 	
1	0	49111	RX	565278619		0x000001d4	8	0xf7 07 00 00 87 46 00 70 	
1	0	49112	RX	565278619		0x000001f2	8	0x10 64 00 00 00 1e 02 0e 	
1	0	49113	RX	565278619		0x0000050b	6	0x00 00 06 c0 00 60 	
1	0	49114	RX	565278621		0x0000011a	8	0x01 40 00 aa 80 00 03 ce 	
1	0	49115	RX	565278622		0x000001db	8	0x00 20 c0 ea 00 00 00 77 	
1	0	49116	RX	565278623		0x000001dc	8	0x3f 01 4f fd 0c dc c8 d9 	
1	0	49117	RX	565278627		0x000001da	8	0xc2 64 18 00 00 01 02 a9 	
1	0	49118	RX	565278629		0x000001d4	8	0xf7 07 00 00 c7 46 00 b7 	
1	0	49119	RX	565278629		0x000001f2	8	0x10 64 00 00 00 1e 03 0f 	
1	0	49120	RX	565278629		0x00000284	8	0x00 00 00 00 00 00 65 eb 	
1	0	49121	RX	565278630		0x0000011a	8	0x01 40 00 aa c0 00 00 03 	
1	0	49122	RX	565278632		0x000001db	8	0x00 20 c0 ea 00 00 01 f2 	
1	0	49123	RX	565278633		0x000001dc	8	0x3f 01 4f fd 01 05 09 d7 	
1	0	49124	RX	565278637		0x000001da	8	0xc2 64 18 00 00 01 03 2c 	
1	0	49125	RX	565278639		0x000001d4	8	0xf7 07 00 00 07 46 00 7b 	
1	0	49126	RX	565278639		0x000001f2	8	0x10 64 00 00 00 1e 00 0c 	
1	0	49127	RX	565278641		0x0000011a	8	0x01 40 00 55 00 00 01 15 	
1	0	49128	RX	565278642		0x000001db	8	0x00 20 c0 ea 00 00 02 f8 	
1	0	49129	RX	565278643		0x000001dc	8	0x3f 01 4f fd 05 38 c6 b1 	
1	0	49130	RX	565278645		0x00000380	8	0x02 04 10 21 00 00 00 9e 	
1	0	49131	RX	565278646		0x000005bf	8	0x00 00 00 00 28 00 00 2b 	
1	0	49132	RX	565278647		0x000001da	8	0xc2 64 18 00 00 01 00 26 	
1	0	49133	RX	565278647		0x0000055a	8	0x00 2e 2a 00 5f 2e 5b 68 	
1	0	49134	RX	565278649		0x000001d4	8	0xf7 07 00 00 47 46 00 bc 	
1	0	49135	RX	565278650		0x000001f2	8	0x10 64 00 00 00 1e 01 0d 	
1	0	49136	RX	565278650		0x00000284	8	0x00 00 00 00 00 00 66 ec 	
1	0	49137	RX	565278650		0x0000056e	1	0x46 	
1	0	49138	RX	565278651		0x0000011a	8	0x01 40 00 55 40 00 02 d8 	
1	0	49139	RX	565278653		0x000001db	8	0x00 20 c0 ea 00 00 03 7d 	
1	0	49140	RX	565278653		0x000001dc	8	0x3f 01 4f fd 08 c4 c3 e3 	
1	0	49141	RX	565278653		0x0000055b	8	0xbb c0 55 00 de 80 13 22 	
1	0	49142	RX	565278657		0x000001da	8	0xc2 64 18 00 00 01 01 a3 	
1	0	49143	RX	565278660		0x000001d4	8	0xf7 07 00 00 87 46 00 70 	
1	0	49144	RX	565278660		0x000001f2	8	0x10 64 00 00 00 1e 02 0e 	
1	0	49145	RX	565278661		0x0000011a	8	0x01 40 00 aa 80 00 03 ce 	
1	0	49146	RX	565278662		0x000001db	8	0x00 20 c0 ea 00 00 00 77 	
1	0	49147	RX	565278663		0x000001dc	8	0x3f 01 4f fd 0c dc c8 d9 	
1	0	49148	RX	565278667		0x000001da	8	0xc2 64 18 00 00 01 02 a9 	
1	0	49149	RX	565278670		0x000001d4	8	0xf7 07 00 00 c7 46 00 b7 	
1	0	49150	RX	565278670		0x000001f2	8	0x10 64 00 00 00 1e 03 0f 	
1	0	49151	RX	565278670		0x00000284	8	0x00 00 00 00 00 00 67 ed 	
1	0	49152	RX	565278671		0x0000011a	8	0x01 40 00 aa c0 00 00 03 	
1	0	49153	RX	565278672		0x000001db	8	0x00 20 c0 ea 00 00 01 f2 	
1	0	49154	RX	565278673		0x000001dc	8	0x3f 01 4f fd 01 05 09 d7 	
1	0	49155	RX	565278677		0x000001da	8	0xc2 64 18 00 00 01 03 2c 	
1	0	49156	RX	565278680		0x000001d4	8	0xf7 07 00 00 07 46 00 7b 	
1	0	49157	RX	565278680		0x000001f2	8	0x10 64 00 00 00 1e 00 0c 	
1	0	49158	RX	565278680		0x0000050c	6	0x00 00 00 02 b2 0d 	
1	0	49159	RX	565278681		0x0000011a	8	0x01 40 00 55 00 00 01 15 	
1	0	49160	RX	565278682		0x000001db	8	0x00 20 c0 ea 00 00 02 f8 	
1	0	49161	RX	565278683		0x000001dc	8	0x3f 01 4f fd 05 38 c6 b1 	
1	0	49162	RX	565278686		0x0000054a	8	0xa0 00 70 06 33 00 00 2d 	
1	0	49163	RX	565278687		0x000001da	8	0xc2 64 18 00 00 01 00 26 	
1	0	49164	RX	565278687		0x0000054b	8	0x00 78 98 12 2c 00 00 00 	
1	0	49165	RX	565278688		0x0000054c	8	0x6a 66 40 00 00 60 5a 00 	
1	0	49166	RX	565278689		0x0000054f	8	0x21 5d 00 00 07 c0 8a 21 	
1	0	49167	RX	565278690		0x000001d4	8	0xf7 07 00 00 47 46 00 bc 	
