Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6420017,00000109,false,Rx,0,8,00,00,00,00,00,0D,00,01,
6420187,00000041,false,Rx,0,8,45,0A,00,00,00,00,00,00,
6420442,0000000D,false,Rx,0,8,F0,01,03,E8,03,E8,00,00,
6420696,00000067,false,Rx,0,8,F8,3E,00,00,00,00,00,00,
6420941,00000115,false,Rx,0,8,00,00,00,00,00,00,01,00,
6421185,00000143,false,Rx,0,8,E5,07,01,A1,4D,40,01,A6,
6421425,00000183,false,Rx,0,8,0A,0A,00,5A,40,00,00,8C,
6421659,000001A3,false,Rx,0,8,00,00,00,78,82,01,00,8A,
6421892,000000A3,false,Rx,0,8,7D,0D,00,00,00,00,00,00,
6422167,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
6422383,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
6422629,000000DB,false,Rx,0,8,00,5F,00,00,01,A6,00,00,
6422868,000000DD,false,Rx,0,8,00,0A,00,0A,FE,0B,03,E6,
6423161,0000015B,false,Rx,0,8,00,08,00,01,00,6C,00,96,
6423353,00000207,false,Rx,0,8,49,00,00,00,00,00,1C,8F,
6423599,00000072,false,Rx,0,8,00,00,00,00,05,9D,01,A5,
6423858,000000E8,false,Rx,0,8,00,00,03,A4,00,14,00,00,
6424097,000001A1,false,Rx,0,8,6F,01,26,00,02,82,02,00,
6424340,0000029E,false,Rx,0,8,00,00,00,00,00,00,00,00,
6424587,000002DD,false,Rx,0,8,E0,04,FF,40,0F,FC,00,00,
6424816,000002E2,false,Rx,0,8,01,0A,0A,5A,00,00,00,8C,
6425059,000002E3,false,Rx,0,8,00,00,00,00,00,00,00,00,
6425292,00000013,false,Rx,0,8,F6,0B,00,00,C0,00,00,00,
6425543,000000AA,false,Rx,0,8,18,04,00,FA,3F,FE,3F,FF,
6425778,000000A2,false,Rx,0,8,87,0D,00,00,00,00,24,09,
6426018,00000044,false,Rx,0,8,B4,3E,08,F2,FF,4F,00,00,
6426274,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
6426519,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
6426766,00000092,false,Rx,0,8,C8,08,00,06,10,00,28,00,
6427101,000000A4,false,Rx,0,8,00,00,00,00,27,FE,10,00,
6427258,000000A8,false,Rx,0,8,B4,08,00,07,00,00,00,00,
6427497,000002DD,false,Rx,0,8,A6,05,FF,40,0F,FC,00,00,
6427760,000002E4,false,Rx,0,8,00,00,00,00,00,00,00,00,
6428000,00000316,false,Rx,0,8,00,00,00,00,64,64,64,64,
6428238,00000317,false,Rx,0,8,00,00,00,00,00,5A,8C,88,
6428478,0000031A,false,Rx,0,8,00,00,00,00,00,01,50,DE,
6428718,00000348,false,Rx,0,8,00,00,00,00,64,64,64,64,
6428958,00000349,false,Rx,0,8,00,00,00,00,00,5A,8C,88,
6429203,00000501,false,Rx,0,8,1E,02,01,81,01,00,00,00,
6430179,00000041,false,Rx,0,8,CA,0B,00,00,00,00,00,00,
6430332,0000000D,false,Rx,0,8,4E,02,03,E8,03,E8,00,00,
6431649,000000A3,false,Rx,0,8,5A,0E,00,00,00,00,00,00,
6431900,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
6432179,00000110,false,Rx,0,8,00,00,00,01,83,60,02,6D,
6435180,00000013,false,Rx,0,8,02,0C,00,00,C0,00,00,00,
6435360,00000036,false,Rx,0,8,11,3A,00,00,00,00,00,00,
6435599,00000050,false,Rx,0,8,FC,0A,09,80,00,80,B4,50,
6435839,00000011,false,Rx,0,8,B5,EC,0C,00,00,00,00,00,
6436079,00000044,false,Rx,0,8,39,3F,09,55,FF,4F,00,00,
6436328,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
6436579,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
6436827,00000084,false,Rx,0,8,58,58,39,00,00,00,00,00,
6437059,00000088,false,Rx,0,8,E3,05,01,C1,C5,66,C8,98,
6437298,0000008A,false,Rx,0,8,00,00,03,96,02,39,00,00,
6437520,0000008C,false,Rx,0,8,9F,05,01,51,3C,5D,90,49,
6437768,0000008E,false,Rx,0,8,00,00,03,FF,00,00,00,45,
6438011,00000090,false,Rx,0,8,00,00,01,A2,00,00,00,00,
6438250,00000098,false,Rx,0,8,B3,45,00,00,07,E8,03,E8,
6438495,000000A2,false,Rx,0,8,A0,0E,00,00,00,00,24,09,
6438730,000000AA,false,Rx,0,8,45,05,00,FA,3F,FE,3F,FF,
6438971,000000C8,false,Rx,0,8,F6,05,00,06,00,06,7F,FD,
6439202,000000CA,false,Rx,0,8,B7,01,A2,15,A1,80,00,2B,
6439442,00000096,false,Rx,0,8,96,18,01,A1,00,00,00,00,
6439677,000002DD,false,Rx,0,8,6C,06,FF,40,0F,FC,00,00,
6439934,000000FB,false,Rx,0,8,00,04,00,00,00,00,00,00,
6440184,00000041,false,Rx,0,8,40,0C,00,00,00,00,00,00,
6440430,0000000D,false,Rx,0,8,24,03,03,E8,03,E8,00,00,
6440670,00000067,false,Rx,0,8,77,3F,00,00,00,00,00,00,
6440934,0000013D,false,Rx,0,8,00,00,00,00,00,00,00,00,
6441179,0000027A,false,Rx,0,8,40,04,0F,21,0F,22,0F,20,
6441419,0000013F,false,Rx,0,8,00,00,00,00,00,00,00,00,
6441659,000000A3,false,Rx,0,8,47,0F,00,00,00,00,00,00,
6441899,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
6442179,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
6442395,000000DB,false,Rx,0,8,00,50,00,00,01,A6,00,00,
6442623,00000143,false,Rx,0,8,63,08,01,A1,4D,40,01,A6,
6442856,0000015B,false,Rx,0,8,00,08,00,01,00,6C,00,96,
6443084,00000159,false,Rx,0,8,8B,0F,0D,3C,00,02,08,54,
6443327,0000027E,false,Rx,0,8,40,10,82,82,00,00,00,00,
6443751,00000072,false,Rx,0,8,00,00,00,00,05,9D,01,A5,
6445179,00000013,false,Rx,0,8,9F,0D,00,00,C0,00,00,00,
6445332,000000AA,false,Rx,0,8,A2,06,00,FA,3F,FE,3F,FF,
6445593,000002DD,false,Rx,0,8,2A,07,FF,40,0F,FC,00,00,
6445828,000000A2,false,Rx,0,8,BD,0F,00,00,00,00,24,09,
6446062,00000044,false,Rx,0,8,DF,30,09,B9,FF,4F,00,00,
6446313,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
6446567,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
6446802,00000092,false,Rx,0,8,47,09,00,06,10,00,28,00,
6447040,000000A4,false,Rx,0,8,00,00,00,00,27,FE,10,00,
6447292,000000A8,false,Rx,0,8,3B,09,00,07,00,00,00,00,
6447544,000001D5,false,Rx,0,8,00,00,00,00,00,00,00,57,
6447790,000001DF,false,Rx,0,8,00,00,00,00,00,00,00,57,
6449304,000000F7,false,Rx,0,8,01,A6,00,00,00,00,00,00,
6449543,000000EC,false,Rx,0,8,00,00,01,4F,01,E1,89,8B,
6450179,00000041,false,Rx,0,8,CF,0D,00,00,00,00,00,00,
6450342,0000000D,false,Rx,0,8,2F,04,03,E8,03,E8,00,00,
6451663,000000A3,false,Rx,0,8,FC,00,00,00,00,00,00,00,
6451896,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
6455168,00000013,false,Rx,0,8,25,0E,00,00,C0,00,00,00,
6455382,00000036,false,Rx,0,8,5D,3B,00,00,00,00,00,00,
6455576,00000050,false,Rx,0,8,96,0B,09,80,00,80,B4,50,
6455816,00000084,false,Rx,0,8,C5,59,39,00,00,00,00,00,
6456050,00000044,false,Rx,0,8,F9,31,0A,1D,FF,4F,00,00,
6456304,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
6456556,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
6456802,000000A2,false,Rx,0,8,06,00,00,00,00,00,24,09,
6457030,00000088,false,Rx,0,8,59,07,01,C1,C5,66,C8,98,
6457274,0000008A,false,Rx,0,8,00,00,03,96,02,39,00,00,
6457510,0000008C,false,Rx,0,8,25,07,01,51,3C,5D,90,49,
6457741,0000008E,false,Rx,0,8,00,00,03,FF,00,00,00,45,
6457987,00000090,false,Rx,0,8,00,00,01,A2,00,00,00,00,
6458226,00000098,false,Rx,0,8,2B,47,00,00,07,E8,03,E8,
6458467,000000AA,false,Rx,0,8,FF,07,00,FA,3F,FE,3F,FF,
6458713,000000C8,false,Rx,0,8,76,07,00,06,00,06,7F,FF,
6458947,000000CA,false,Rx,0,8,C0,01,A2,1D,A1,80,00,2B,
6459191,000000EA,false,Rx,0,8,01,57,00,00,00,00,00,00,
6459431,00000096,false,Rx,0,8,19,19,01,A1,00,00,00,00,
6459682,00000104,false,Rx,0,8,00,00,00,04,00,00,00,00,
6459911,00000143,false,Rx,0,8,EC,09,01,A1,4D,40,01,A6,
6460161,00000041,false,Rx,0,8,43,0E,00,00,00,00,00,00,
6460401,0000000D,false,Rx,0,8,45,05,03,E8,03,E8,00,00,
6460647,00000067,false,Rx,0,8,F1,30,00,00,00,00,00,00,
6460899,000002DD,false,Rx,0,8,EF,08,FF,40,0F,FC,00,00,
6461637,000000A3,false,Rx,0,8,E1,01,00,00,00,00,00,00,
6461883,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
6462168,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
