Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8065762,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8065958,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
8066188,00000088,false,Rx,0,8,25,0D,01,C1,C5,66,C6,D0,
8066445,0000008A,false,Rx,0,8,00,00,03,96,02,93,00,00,
8066678,0000008C,false,Rx,0,8,47,0D,01,51,3A,83,8C,12,
8066925,0000008E,false,Rx,0,8,00,01,03,FF,00,00,00,7C,
8067155,00000090,false,Rx,0,8,00,00,01,A2,00,00,00,00,
8067409,00000096,false,Rx,0,8,8D,1C,01,A0,00,00,00,00,
8067648,00000098,false,Rx,0,8,E9,4D,00,00,07,E8,03,E8,
8067996,00000013,false,Rx,0,8,65,F4,00,00,00,00,00,00,
8068158,00000036,false,Rx,0,8,FE,34,00,00,00,00,00,00,
8068446,00000050,false,Rx,0,8,8B,02,09,80,00,80,B4,50,
8068619,00000011,false,Rx,0,8,A6,E8,0C,C4,00,00,00,00,
8068884,00000084,false,Rx,0,8,82,5B,79,00,00,00,00,00,
8069069,000000AA,false,Rx,0,8,71,00,00,FA,3F,FE,3F,FF,
8069345,000000C8,false,Rx,0,8,40,0D,00,00,00,00,7F,FD,
8069574,00000044,false,Rx,0,8,68,38,0E,F6,FF,45,00,00,
8070102,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8070117,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8070322,000000A2,false,Rx,0,8,F3,09,00,00,00,00,24,09,
8070931,000000CA,false,Rx,0,8,54,01,A1,35,A1,80,00,23,
8070947,000000DB,false,Rx,0,8,00,55,00,00,01,A6,00,00,
8071006,000000DD,false,Rx,0,8,00,0A,00,0A,FE,0B,03,E6,
8071453,000000EF,false,Rx,0,8,00,00,0E,51,F3,00,00,00,
8071495,000000FB,false,Rx,0,8,00,0E,00,00,00,00,00,00,
8072054,00000110,false,Rx,0,8,00,00,00,01,83,60,02,49,
8072070,00000130,false,Rx,0,8,00,00,00,20,00,4B,00,00,
8072257,00000132,false,Rx,0,8,00,00,00,00,00,00,00,00,
8072521,00000134,false,Rx,0,8,00,00,00,00,00,00,0F,FF,
8072760,00000135,false,Rx,0,8,3F,12,00,00,00,00,00,00,
8073003,0000000D,false,Rx,0,8,53,0B,03,E8,03,E8,00,00,
8073237,00000041,false,Rx,0,8,05,03,01,4C,00,00,00,00,
8073732,00000067,false,Rx,0,8,7E,31,00,00,00,00,00,00,
8073749,0000013D,false,Rx,0,8,00,00,00,00,00,00,00,00,
8073979,00000146,false,Rx,0,8,00,65,03,FF,03,FF,00,00,
8074551,0000013F,false,Rx,0,8,00,00,00,00,00,00,00,00,
8074566,00000148,false,Rx,0,8,00,00,00,74,C8,74,74,74,
8074692,00000143,false,Rx,0,8,65,0C,01,A1,43,40,01,A6,
8075172,00000149,false,Rx,0,8,00,00,00,00,00,00,08,4D,
8075188,0000014C,false,Rx,0,8,00,00,10,68,0F,15,0F,1F,
8075440,0000014E,false,Rx,0,8,00,00,00,00,00,00,00,00,
8075914,0000015B,false,Rx,0,8,00,08,00,01,00,6C,00,96,
8075929,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8076429,000000A3,false,Rx,0,8,2E,0A,00,00,00,00,00,00,
8076445,00000160,false,Rx,0,8,00,00,00,28,1F,D8,0F,FF,
8076650,00000162,false,Rx,0,8,00,1C,28,01,12,5E,00,00,
8076907,00000164,false,Rx,0,8,00,00,00,00,00,41,06,49,
8077140,00000166,false,Rx,0,8,00,00,03,C0,00,00,00,00,
8077637,000000EC,false,Rx,0,8,00,00,01,56,01,E7,90,91,
8077654,00000171,false,Rx,0,8,00,00,07,74,28,01,00,00,
8077876,00000013,false,Rx,0,8,F8,F5,00,00,00,00,00,00,
8078495,000000AA,false,Rx,0,8,2C,01,00,FA,3F,FE,3F,FF,
8078510,000000F7,false,Rx,0,8,01,A6,00,00,00,00,00,00,
8078576,00000191,false,Rx,0,8,00,AD,01,17,00,00,00,00,
8079150,0000027A,false,Rx,0,8,18,04,0F,1C,0F,1A,0F,1B,
8079166,0000027E,false,Rx,0,8,18,10,74,74,00,00,00,00,
8079321,000002FD,false,Rx,0,8,00,00,00,00,00,01,00,00,
8079877,00000044,false,Rx,0,8,E9,39,0F,59,FF,45,00,00,
8079892,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8080061,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8080537,00000092,false,Rx,0,8,03,05,00,00,10,00,28,00,
8080553,000000A2,false,Rx,0,8,D4,0A,00,00,00,00,24,09,
8080800,000000A4,false,Rx,0,8,00,00,00,00,27,FE,10,00,
8081035,00000072,false,Rx,0,8,00,00,00,00,05,9D,01,A4,
8081578,000000A8,false,Rx,0,8,62,05,00,00,00,00,00,00,
8081594,000001D5,false,Rx,0,8,00,00,00,00,00,00,00,4F,
8081777,000001DF,false,Rx,0,8,00,00,00,00,00,00,00,4E,
8082677,00000041,false,Rx,0,8,8F,04,01,4C,00,00,00,00,
8082913,0000000D,false,Rx,0,8,58,0C,03,E8,03,E8,00,00,
8085525,000000A3,false,Rx,0,8,33,0B,00,00,00,00,00,00,
8085765,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8086225,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
8086241,00000088,false,Rx,0,8,9F,0F,01,C1,C5,66,C6,D0,
8086872,0000008A,false,Rx,0,8,00,00,03,96,02,93,00,00,
8086888,0000008C,false,Rx,0,8,FD,0F,01,51,3A,83,8C,12,
8086921,0000008E,false,Rx,0,8,00,01,03,FF,00,00,00,7C,
8087409,00000090,false,Rx,0,8,00,00,01,A2,00,00,00,00,
8087430,00000096,false,Rx,0,8,02,1D,01,A0,00,00,00,00,
8087878,00000098,false,Rx,0,8,71,4F,00,00,07,E8,03,E8,
8087905,00000013,false,Rx,0,8,42,F6,00,00,00,00,00,00,
8088160,00000036,false,Rx,0,8,B2,35,00,00,00,00,00,00,
8088749,00000050,false,Rx,0,8,E1,03,09,80,00,80,B4,50,
8088766,00000084,false,Rx,0,8,76,5C,79,00,00,00,00,00,
8088879,000000AA,false,Rx,0,8,CB,02,00,FA,3F,FE,3F,FF,
8089143,000000C8,false,Rx,0,8,FA,0F,00,00,00,00,7F,FD,
8089376,000000CA,false,Rx,0,8,70,01,A1,3D,A1,80,00,24,
8089615,00000044,false,Rx,0,8,6A,3A,0F,BE,FF,46,00,00,
8089884,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8090121,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8090343,000000A2,false,Rx,0,8,C9,0B,00,00,00,00,24,09,
8090807,000000DB,false,Rx,0,8,00,56,00,00,01,A6,00,00,
8090849,000000EA,false,Rx,0,8,5B,5F,00,00,00,00,00,00,
8091073,00000109,false,Rx,0,8,00,00,00,00,00,18,00,02,
8091307,00000143,false,Rx,0,8,EA,0D,01,A1,43,40,01,A6,
8091556,0000015B,false,Rx,0,8,00,08,00,01,00,6C,00,96,
8092090,00000204,false,Rx,0,8,0B,0F,00,00,00,00,00,00,
8092108,00000207,false,Rx,0,8,48,00,00,00,00,00,1C,5A,
8092281,000002DD,false,Rx,0,8,A3,01,FF,40,0F,FC,00,00,
8092685,00000041,false,Rx,0,8,00,05,01,4C,00,00,00,00,
8092925,0000000D,false,Rx,0,8,32,0D,03,E8,03,E8,00,00,
8093201,00000067,false,Rx,0,8,F2,32,00,00,00,00,00,00,
8094590,00000104,false,Rx,0,8,00,00,00,04,00,00,00,00,
8095738,000000A3,false,Rx,0,8,60,0C,00,00,00,00,00,00,
8095759,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8097874,00000013,false,Rx,0,8,DF,F7,00,00,00,00,00,00,
8097896,000000AA,false,Rx,0,8,96,03,00,FA,3F,FE,3F,FF,
8098154,000002DD,false,Rx,0,8,69,02,FF,40,0F,FC,00,00,
8099086,0000013B,false,Rx,0,8,00,00,00,00,22,74,B8,23,
8099319,000001A1,false,Rx,0,8,6A,07,26,00,02,82,02,00,
8099554,00000044,false,Rx,0,8,36,3B,00,21,FF,46,00,00,
8100123,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8100139,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8100292,00000092,false,Rx,0,8,8F,06,00,00,10,00,28,00,
8100548,000000A2,false,Rx,0,8,9A,0C,00,00,00,00,24,09,
8100795,00000072,false,Rx,0,8,00,00,00,00,05,9D,01,A4,
8101041,000000A4,false,Rx,0,8,00,00,00,00,27,FE,10,00,
8101259,000000A8,false,Rx,0,8,EE,06,00,00,00,00,00,00,
8101535,000000E8,false,Rx,0,8,00,00,03,9C,00,14,00,00,
8101769,00000154,false,Rx,0,8,00,00,00,00,80,4E,4E,6F,
8102262,00000217,false,Rx,0,8,00,00,00,02,00,03,00,04,
8102279,00000230,false,Rx,0,8,00,00,00,00,01,01,01,00,
8102943,00000041,false,Rx,0,8,8C,06,01,4C,00,00,00,00,
8102958,0000000D,false,Rx,0,8,8C,0E,03,E8,03,E8,00,00,
8104597,00000183,false,Rx,0,8,0A,0A,00,5A,40,00,00,8C,
8105478,000000A3,false,Rx,0,8,7D,0D,00,00,00,00,00,00,
8105964,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
