Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3558274,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3567463,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
3617505,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
3658245,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3667493,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
3719479,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
3758259,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3769612,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
3819492,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
3858230,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3869542,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
3920506,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
3958271,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3975558,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
4026352,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
4058263,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
4076559,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
4126840,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
4158229,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
4176603,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
4226761,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
4258272,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
4277668,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
4327741,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
4358272,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
4378827,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
4428823,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
4458240,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
4480823,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
4530880,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
4558246,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
4580752,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
4630775,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
4658258,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
4680915,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
4730817,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
4758233,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
4781845,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
4832890,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
4858242,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
4883599,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
4932954,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
4958250,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
4986121,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
5035914,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
5058229,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
5085958,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
5136120,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
5158223,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
5187012,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
5240141,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
5269558,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
5292141,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
5342198,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
5369564,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
5392070,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
5442093,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
5469576,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
5492233,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
5542135,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
5569551,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
5593163,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
5644208,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
5669560,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
5694917,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
5744272,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
5769568,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
5797439,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
5847232,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
5869547,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
5897276,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
5947438,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
5969541,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
5998330,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
6051459,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
6080876,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
6103459,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
6153516,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
6180882,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
