;$FILEVERSION=1.1
;$STARTTIME=43602.8098728588
;
;   F:\pcanview\pexic_start.trc
;
;   Start time: 17/05/2019 19:26:13.015.0
;   Generated by PCAN-View v4.2.2.555
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   376)      6813.9  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   377)      6817.9  Rx         0251  8  40 00 00 00 00 00 00 00 
   378)      6818.9  Rx         0250  8  08 00 40 00 00 00 00 00 
   379)      6824.6  Rx         0210  7  FF FF 30 68 90 00 63 
   380)      6824.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   381)      6827.9  Rx         0263  6  00 00 26 76 02 00 
   382)      6837.9  Rx         0264  8  00 00 59 00 01 01 00 00 
   383)      6838.6  Rx         0210  7  FF FF 30 68 90 00 64 
   384)      6838.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   385)      6847.9  Rx         0265  8  FC 00 00 00 00 36 00 00 
   386)      6852.6  Rx         0210  7  FF FF 30 68 90 00 65 
   387)      6852.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   388)      6857.8  Rx         0311  2  00 00 
   389)      6866.6  Rx         0210  7  FF FF 30 68 90 00 66 
   390)      6866.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   391)      6879.0  Rx         0301  8  00 00 0F 31 00 34 00 F0 
   392)      6879.3  Rx         0302  8  00 00 00 00 0F 31 00 00 
   393)      6879.5  Rx         0304  8  00 00 00 00 00 F0 00 F0 
   394)      6879.7  Rx         0305  8  00 00 01 40 00 00 00 00 
   395)      6880.0  Rx         0303  8  0F 59 00 00 00 00 00 00 
   396)      6880.6  Rx         0210  7  FF FF 30 68 90 00 67 
   397)      6880.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   398)      6894.6  Rx         0210  7  FF FF 30 68 90 00 68 
   399)      6894.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   400)      6908.6  Rx         0210  7  FF FF 30 68 90 00 69 
   401)      6908.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   402)      6913.6  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   403)      6917.9  Rx         0251  8  40 00 00 00 00 00 00 00 
   404)      6919.1  Rx         0250  8  08 00 40 00 00 00 00 00 
   405)      6919.5  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   406)      6919.8  Rx         0441  8  00 00 00 00 00 00 00 00 
   407)      6920.2  Rx         0442  8  00 00 00 00 00 00 00 00 
   408)      6920.4  Rx         0443  8  00 00 00 00 00 00 00 00 
   409)      6920.8  Rx         0444  8  00 00 00 00 00 00 00 00 
   410)      6922.6  Rx         0210  7  FF FF 30 68 90 00 6A 
   411)      6922.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   412)      6928.0  Rx         0265  8  FC 00 00 00 00 36 00 00 
   413)      6936.7  Rx         0210  7  FF FF 30 68 90 00 6B 
   414)      6936.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   415)      6937.9  Rx         0310  3  02 00 00 
   416)      6938.5  Rx         0408  8  0E 02 81 10 00 18 76 0B 
   417)      6939.3  Rx         040B  8  00 00 05 00 00 90 60 00 
   418)      6950.7  Rx         0210  7  FF FF 30 68 90 00 6C 
   419)      6950.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   420)      6954.0  Rx         0610  8  06 7C 00 00 18 18 00 00 
   421)      6954.2  Rx         0611  8  06 43 06 7C ED ED ED FE 
   422)      6958.0  Rx         0359  8  02 00 00 85 00 00 00 00 
   423)      6964.7  Rx         0210  7  FF FF 30 68 90 00 6D 
   424)      6964.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   425)      6978.6  Rx         0210  7  FF FF 30 68 90 00 6E 
   426)      6978.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   427)      6992.7  Rx         0210  7  FF FF 30 68 90 00 6F 
   428)      6992.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   429)      7006.7  Rx         0210  7  FF FF 30 68 90 00 70 
   430)      7006.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   431)      7013.3  Rx         0023  1  40 
   432)      7013.6  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   433)      7018.0  Rx         0251  8  40 00 00 00 00 00 00 00 
   434)      7019.3  Rx         0250  8  08 00 40 00 00 00 00 00 
   435)      7020.7  Rx         0210  7  FF FF 30 68 90 00 71 
   436)      7020.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   437)      7028.0  Rx         0264  8  00 00 59 00 01 01 00 00 
   438)      7034.7  Rx         0210  7  FF FF 30 68 90 00 72 
   439)      7034.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   440)      7038.0  Rx         0265  8  FC 00 00 00 00 36 00 00 
   441)      7047.9  Rx         0311  2  00 00 
   442)      7048.7  Rx         0210  7  FF FF 30 68 90 00 73 
   443)      7048.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   444)      7062.7  Rx         0210  7  FF FF 30 68 90 00 74 
   445)      7063.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   446)      7076.7  Rx         0210  7  FF FF 30 68 90 00 75 
   447)      7076.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   448)      7079.0  Rx         0301  8  00 00 0F 15 00 34 00 DC 
   449)      7079.3  Rx         0302  8  00 00 00 00 0F 15 00 00 
   450)      7079.5  Rx         0304  8  00 00 00 00 00 DC 00 DC 
   451)      7079.8  Rx         0305  8  00 00 01 40 00 00 00 00 
   452)      7080.0  Rx         0303  8  0F 59 00 00 00 00 00 00 
   453)      7090.7  Rx         0210  7  FF FF 30 68 90 00 76 
   454)      7091.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   455)      7104.7  Rx         0210  7  FF FF 30 68 90 00 77 
   456)      7105.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   457)      7113.2  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   458)      7118.0  Rx         0251  8  40 00 00 00 00 00 00 00 
   459)      7118.8  Rx         0210  7  FF FF 30 68 90 00 78 
   460)      7119.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   461)      7119.5  Rx         0250  8  08 00 40 00 00 00 00 00 
   462)      7119.8  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   463)      7120.2  Rx         0441  8  00 00 00 00 00 00 00 00 
   464)      7120.5  Rx         0442  8  00 00 00 00 00 00 00 00 
   465)      7120.9  Rx         0443  8  00 00 00 00 00 00 00 00 
   466)      7121.2  Rx         0444  8  00 00 00 00 00 00 00 00 
   467)      7128.0  Rx         0265  8  FC 00 00 00 00 36 00 00 
   468)      7132.8  Rx         0210  7  FF FF 30 68 90 00 79 
   469)      7133.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   470)      7137.9  Rx         0310  3  02 00 00 
   471)      7146.8  Rx         0210  7  FF FF 30 68 90 00 7A 
   472)      7147.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   473)      7154.0  Rx         0610  8  06 7C 01 6D 16 16 00 00 
   474)      7154.3  Rx         0611  8  06 51 05 0F ED ED ED FE 
   475)      7158.1  Rx         0359  8  02 00 00 85 00 00 00 00 
   476)      7160.7  Rx         0210  7  FF FF 30 68 90 00 7B 
   477)      7161.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   478)      7168.3  Rx         0409  8  18 00 80 00 80 00 00 00 
   479)      7175.4  Rx         0210  7  FF FF 30 68 90 00 7C 
   480)      7175.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   481)      7189.4  Rx         0210  7  FF FF 30 68 90 00 7D 
   482)      7189.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   483)      7203.4  Rx         0210  7  FF FF 30 68 90 00 7E 
   484)      7203.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   485)      7212.8  Rx         0023  1  40 
   486)      7213.1  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   487)      7217.4  Rx         0210  7  FF FF 30 68 90 00 7F 
   488)      7217.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   489)      7218.0  Rx         0251  8  40 00 00 00 00 00 00 00 
   490)      7219.5  Rx         0250  8  08 00 40 00 00 00 00 00 
   491)      7219.8  Rx         03A0  8  00 00 03 B4 00 00 00 00 
   492)      7220.1  Rx         03A1  8  80 10 08 00 26 00 EB 00 
   493)      7228.1  Rx         0264  8  00 00 59 00 01 01 00 00 
   494)      7231.4  Rx         0210  7  FF FF 30 68 90 00 80 
   495)      7231.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   496)      7238.1  Rx         0265  8  FC 00 00 00 00 36 00 00 
   497)      7245.4  Rx         0210  7  FF FF 30 68 90 00 81 
   498)      7245.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   499)      7248.0  Rx         0311  2  00 00 
   500)      7259.4  Rx         0210  7  FF FF 30 68 90 00 82 
   501)      7259.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   502)      7273.4  Rx         0210  7  FF FF 30 68 90 00 83 
   503)      7273.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   504)      7279.1  Rx         0301  8  00 00 0F 3D 00 34 00 D2 
   505)      7279.4  Rx         0302  8  00 00 00 00 0F 3D 00 00 
   506)      7279.5  Rx         0304  8  00 00 00 00 00 D2 00 D2 
   507)      7279.8  Rx         0305  8  00 00 01 40 00 00 00 00 
   508)      7280.0  Rx         0303  8  0F 59 00 00 00 00 00 00 
   509)      7287.4  Rx         0210  7  FF FF 30 68 90 00 84 
   510)      7287.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   511)      7301.4  Rx         0210  7  FF FF 30 68 90 00 85 
   512)      7301.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   513)      7312.7  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   514)      7315.5  Rx         0210  7  FF FF 30 68 90 00 86 
   515)      7315.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   516)      7318.1  Rx         0251  8  40 00 00 00 00 00 00 00 
   517)      7319.6  Rx         0250  8  08 00 40 00 00 00 00 00 
   518)      7320.0  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   519)      7320.3  Rx         0441  8  00 00 00 00 00 00 00 00 
   520)      7320.7  Rx         0442  8  00 00 00 00 00 00 00 00 
   521)      7321.0  Rx         0443  8  00 00 00 00 00 00 00 00 
   522)      7321.3  Rx         0444  8  00 00 00 00 00 00 00 00 
   523)      7328.0  Rx         0263  6  00 00 25 76 03 00 
   524)      7329.4  Rx         0210  7  FF FF 30 68 90 00 87 
   525)      7329.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   526)      7338.1  Rx         0265  8  FC 00 00 00 00 36 00 00 
   527)      7343.4  Rx         0210  7  FF FF 30 68 90 00 88 
   528)      7343.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   529)      7348.0  Rx         0310  3  02 00 00 
   530)      7354.1  Rx         0610  8  06 7C 02 89 15 15 00 00 
   531)      7354.3  Rx         0611  8  06 59 03 F3 ED ED ED FE 
   532)      7357.5  Rx         0210  7  FF FF 30 68 90 00 89 
   533)      7357.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   534)      7368.1  Rx         0359  8  02 00 00 85 00 00 00 00 
   535)      7371.5  Rx         0210  7  FF FF 30 68 90 00 8A 
   536)      7371.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   537)      7385.5  Rx         0210  7  FF FF 30 68 90 00 8B 
   538)      7385.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   539)      7399.5  Rx         0210  7  FF FF 30 68 90 00 8C 
   540)      7399.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   541)      7412.4  Rx         0023  1  40 
   542)      7412.7  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   543)      7413.5  Rx         0210  7  FF FF 30 68 90 00 8D 
   544)      7413.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   545)      7418.1  Rx         0251  8  40 00 00 00 00 00 00 00 
   546)      7419.8  Rx         0250  8  08 00 40 00 00 00 00 00 
   547)      7427.5  Rx         0210  7  FF FF 30 68 90 00 8E 
   548)      7427.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   549)      7428.1  Rx         0264  8  00 00 59 00 01 01 00 00 
   550)      7438.0  Rx         0408  8  0E 02 81 10 00 18 76 0B 
   551)      7438.3  Rx         0265  8  FC 00 00 00 00 36 00 00 
   552)      7438.9  Rx         040B  8  00 00 05 00 00 10 60 00 
   553)      7441.5  Rx         0210  7  FF FF 30 68 90 00 8F 
   554)      7441.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   555)      7448.0  Rx         0311  2  00 00 
   556)      7455.5  Rx         0210  7  FF FF 30 68 90 00 90 
   557)      7455.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   558)      7469.5  Rx         0210  7  FF FF 30 68 90 00 91 
   559)      7469.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   560)      7479.1  Rx         0301  8  00 00 0F 4E 00 34 00 C8 
   561)      7479.4  Rx         0302  8  00 00 00 00 0F 4E 00 00 
   562)      7479.5  Rx         0304  8  00 00 00 00 00 C8 00 C8 
   563)      7479.8  Rx         0305  8  00 00 01 40 00 00 00 00 
   564)      7480.1  Rx         0303  8  0F 59 00 00 00 00 00 00 
   565)      7483.5  Rx         0210  7  FF FF 30 68 90 00 92 
   566)      7483.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   567)      7497.5  Rx         0210  7  FF FF 30 68 90 00 93 
   568)      7497.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   569)      7511.5  Rx         0210  7  FF FF 30 68 90 00 94 
   570)      7511.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   571)      7512.4  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   572)      7518.2  Rx         0251  8  40 00 00 00 00 00 00 00 
   573)      7519.9  Rx         0250  8  08 00 40 00 00 00 00 00 
   574)      7520.2  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   575)      7520.5  Rx         0441  8  00 00 00 00 00 00 00 00 
   576)      7520.9  Rx         0442  8  00 00 00 00 00 00 00 00 
   577)      7521.2  Rx         0443  8  00 00 00 00 00 00 00 00 
   578)      7521.6  Rx         0444  8  00 00 00 00 00 00 00 00 
   579)      7525.5  Rx         0210  7  FF FF 30 68 90 00 95 
   580)      7525.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   581)      7528.2  Rx         0265  8  FC 00 00 00 00 36 00 00 
   582)      7538.0  Rx         0310  3  02 00 00 
   583)      7539.6  Rx         0210  7  FF FF 30 68 90 00 96 
   584)      7539.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   585)      7553.6  Rx         0210  7  FF FF 30 68 90 00 97 
   586)      7553.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   587)      7554.1  Rx         0610  8  06 7C 03 C2 14 14 00 00 
   588)      7554.3  Rx         0611  8  06 60 02 BA ED ED ED FE 
   589)      7558.2  Rx         0359  8  02 00 00 85 00 00 00 00 
   590)      7567.6  Rx         0210  7  FF FF 30 68 90 00 98 
   591)      7567.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   592)      7581.6  Rx         0210  7  FF FF 30 68 90 00 99 
   593)      7581.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   594)      7595.6  Rx         0210  7  FF FF 30 68 90 00 9A 
   595)      7595.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   596)      7609.6  Rx         0210  7  FF FF 30 68 90 00 9B 
   597)      7609.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   598)      7612.1  Rx         0023  1  40 
   599)      7612.4  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   600)      7618.2  Rx         0251  8  40 00 00 00 00 00 00 00 
   601)      7620.0  Rx         0250  8  08 00 40 00 00 00 00 00 
   602)      7623.6  Rx         0210  7  FF FF 30 68 90 00 9C 
   603)      7623.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   604)      7628.2  Rx         0264  8  00 00 59 00 01 01 00 00 
   605)      7637.6  Rx         0210  7  FF FF 30 68 90 00 9D 
   606)      7637.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   607)      7638.2  Rx         0265  8  FC 00 00 00 00 36 00 00 
   608)      7648.1  Rx         0311  2  00 00 
   609)      7651.6  Rx         0210  7  FF FF 30 68 90 00 9E 
   610)      7651.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   611)      7665.7  Rx         0210  7  FF FF 30 68 90 00 9F 
   612)      7665.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   613)      7667.8  Rx         0409  8  18 00 00 00 80 00 00 00 
   614)      7679.2  Rx         0301  8  00 04 0F 35 00 34 00 BE 
   615)      7679.4  Rx         0302  8  00 00 00 00 09 54 08 A2 
   616)      7679.6  Rx         0210  7  FF FF 30 68 90 00 A0 
   617)      7679.9  Rx         0304  8  00 00 00 00 00 BE 00 BE 
   618)      7680.2  Rx         0305  8  00 00 01 40 00 00 00 00 
   619)      7680.4  Rx         0303  8  0F 59 01 04 06 00 00 00 
   620)      7680.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   621)      7693.6  Rx         0210  7  FF FF 30 68 90 00 A1 
   622)      7693.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   623)      7707.7  Rx         0210  7  FF FF 30 68 90 00 A2 
   624)      7707.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   625)      7711.8  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   626)      7718.1  Rx         0251  8  40 00 00 00 00 00 00 00 
   627)      7720.0  Rx         0250  8  08 00 40 00 00 00 00 00 
   628)      7720.3  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   629)      7720.7  Rx         0441  8  00 00 00 00 00 00 00 00 
   630)      7721.0  Rx         0442  8  00 00 00 00 00 00 00 00 
   631)      7721.4  Rx         0443  8  00 00 00 00 00 00 00 00 
   632)      7721.6  Rx         0210  7  FF FF 30 68 90 00 A3 
   633)      7721.8  Rx         0444  8  00 00 00 00 00 00 00 00 
   634)      7722.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   635)      7722.4  Rx         03A0  8  00 00 03 B4 00 00 00 00 
   636)      7722.7  Rx         03A1  8  80 18 08 00 25 00 EB 00 
   637)      7728.1  Rx         0265  8  FF F7 00 00 00 36 00 00 
   638)      7735.6  Rx         0210  7  FF FF 30 68 90 00 A4 
   639)      7735.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   640)      7738.0  Rx         0310  3  02 00 00 
   641)      7749.6  Rx         0210  7  FF FF 30 68 90 00 A5 
   642)      7749.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   643)      7754.1  Rx         0610  8  06 7C 04 99 13 13 00 00 
   644)      7754.4  Rx         0300  8  02 00 25 00 00 00 01 00 
   645)      7754.6  Rx         0306  8  00 00 00 00 00 00 00 00 
   646)      7754.9  Rx         0611  8  06 65 01 E3 D3 ED ED FE 
   647)      7755.1  Rx         0722  8  00 00 00 00 00 00 00 00 
   648)      7755.3  Rx         0723  8  00 00 00 00 00 00 00 00 
   649)      7755.6  Rx         0721  8  00 00 00 00 00 00 00 00 
   650)      7758.1  Rx         0359  8  02 00 00 85 00 00 00 00 
   651)      7763.6  Rx         0210  7  FF FF 30 68 90 00 A6 
   652)      7763.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   653)      7777.6  Rx         0210  7  FF FF 30 68 90 00 A7 
   654)      7777.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   655)      7791.6  Rx         0210  7  FF FF 30 68 90 00 A8 
   656)      7791.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   657)      7805.6  Rx         0210  7  FF FF 30 68 90 00 A9 
   658)      7805.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   659)      7811.7  Rx         0023  1  40 
   660)      7812.0  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   661)      7818.2  Rx         0251  8  40 00 00 00 00 00 00 00 
   662)      7819.6  Rx         0210  7  FF FF 30 68 90 00 AA 
   663)      7819.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   664)      7820.3  Rx         0250  8  08 00 40 00 00 00 00 00 
   665)      7828.1  Rx         0263  6  00 00 24 76 04 00 
   666)      7833.6  Rx         0210  7  FF FF 30 68 90 00 AB 
   667)      7833.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   668)      7838.1  Rx         0264  8  00 00 51 00 01 01 00 00 
   669)      7847.7  Rx         0210  7  FF FF 30 68 90 00 AC 
   670)      7847.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   671)      7848.2  Rx         0265  8  FF FE 00 00 00 36 00 00 
   672)      7858.1  Rx         0311  2  00 00 
   673)      7861.6  Rx         0210  7  FF FF 30 68 90 00 AD 
   674)      7861.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   675)      7875.6  Rx         0210  7  FF FF 30 68 90 00 AE 
   676)      7875.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   677)      7879.1  Rx         0301  8  00 02 0F 39 00 34 00 BE 
   678)      7879.4  Rx         0302  8  00 00 00 00 09 54 08 A2 
   679)      7879.6  Rx         0304  8  00 00 00 00 00 C8 00 B4 
   680)      7879.9  Rx         0305  8  00 00 01 40 00 00 00 00 
   681)      7880.1  Rx         0303  8  0F 59 05 DC 06 00 00 00 
   682)      7889.7  Rx         0210  7  FF FF 30 68 90 00 AF 
   683)      7889.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   684)      7903.7  Rx         0210  7  FF FF 30 68 90 00 B0 
   685)      7903.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   686)      7911.4  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   687)      7917.7  Rx         0210  7  FF FF 30 68 90 00 B1 
   688)      7917.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   689)      7918.2  Rx         0251  8  40 00 00 00 00 00 00 00 
   690)      7920.5  Rx         0250  8  08 00 40 00 00 00 00 00 
   691)      7920.9  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   692)      7921.2  Rx         0441  8  00 00 00 00 00 00 00 00 
   693)      7921.5  Rx         0442  8  00 00 00 00 00 00 00 00 
   694)      7922.0  Rx         0443  8  00 00 00 00 00 00 00 00 
   695)      7922.3  Rx         0444  8  00 00 00 00 00 00 00 00 
   696)      7928.2  Rx         0265  8  FF FF 00 00 00 36 00 00 
   697)      7931.7  Rx         0210  7  FF FF 30 68 90 00 B2 
   698)      7932.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   699)      7937.4  Rx         0408  8  0E 02 84 10 80 18 76 0B 
   700)      7938.1  Rx         0310  3  02 00 00 
   701)      7938.4  Rx         040B  8  00 00 05 00 00 10 60 00 
   702)      7945.7  Rx         0210  7  FF FF 30 68 90 00 B3 
   703)      7945.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   704)      7954.1  Rx         0610  8  06 7C 05 03 14 12 00 02 
   705)      7954.4  Rx         0611  8  06 69 01 79 62 ED ED FE 
   706)      7958.2  Rx         0359  8  02 00 00 85 00 00 00 00 
   707)      7959.7  Rx         0210  7  FF FF 30 68 90 00 B4 
   708)      7959.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   709)      7973.7  Rx         0210  7  FF FF 30 68 90 00 B5 
   710)      7973.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   711)      7987.7  Rx         0210  7  FF FF 30 68 90 00 B6 
   712)      7987.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   713)      8001.7  Rx         0210  7  FF FF 30 68 90 00 B7 
   714)      8002.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   715)      8011.1  Rx         0023  1  40 
   716)      8011.4  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   717)      8015.7  Rx         0210  7  FF FF 30 68 90 00 B8 
   718)      8016.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   719)      8018.2  Rx         0251  8  40 00 00 00 00 00 00 00 
   720)      8020.6  Rx         0250  8  08 00 40 00 00 00 00 00 
   721)      8028.3  Rx         0264  8  00 00 51 00 01 01 00 00 
   722)      8029.8  Rx         0210  7  FF FF 30 68 90 00 B9 
   723)      8030.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   724)      8038.2  Rx         0265  8  FF FF 00 00 00 36 00 00 
   725)      8043.7  Rx         0210  7  FF FF 30 68 90 00 BA 
   726)      8044.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   727)      8048.1  Rx         0311  2  00 00 
   728)      8057.8  Rx         0210  7  FF FF 30 68 90 00 BB 
   729)      8058.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   730)      8071.8  Rx         0210  7  FF FF 30 68 90 00 BC 
   731)      8072.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   732)      8079.2  Rx         0301  8  00 01 0F 3C 00 34 00 B4 
   733)      8079.4  Rx         0302  8  00 00 00 00 09 54 08 A2 
   734)      8079.6  Rx         0304  8  00 00 00 00 00 BE 00 B4 
   735)      8079.9  Rx         0305  8  00 00 01 40 00 00 00 00 
   736)      8080.1  Rx         0303  8  0F 59 05 DC 06 00 00 00 
   737)      8085.8  Rx         0210  7  FF FF 30 68 90 00 BD 
   738)      8086.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   739)      8099.8  Rx         0210  7  FF FF 30 68 90 00 BE 
   740)      8100.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   741)      8111.1  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   742)      8113.8  Rx         0210  7  FF FF 30 68 90 00 BF 
   743)      8114.1  Rx         04B0  8  27 10 27 10 27 10 27 10 
   744)      8118.3  Rx         0251  8  40 00 00 00 00 00 00 00 
   745)      8120.6  Rx         0250  8  08 00 40 00 00 00 00 00 
   746)      8120.9  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   747)      8121.4  Rx         0441  8  00 00 00 00 00 00 00 00 
   748)      8121.7  Rx         0442  8  00 00 00 00 00 00 00 00 
   749)      8122.0  Rx         0443  8  00 00 00 00 00 00 00 00 
   750)      8122.3  Rx         0444  8  00 00 00 00 00 00 00 00 
   751)      8127.8  Rx         0210  7  FF FF 30 68 90 00 C0 
   752)      8128.1  Rx         04B0  8  27 10 27 10 27 10 27 10 
   753)      8128.3  Rx         0265  8  FF FF 00 00 00 36 00 00 
   754)      8138.2  Rx         0310  3  02 00 00 
   755)      8141.8  Rx         0210  7  FF FF 30 68 90 00 C1 
   756)      8142.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   757)      8154.2  Rx         0610  8  06 7C 05 76 13 12 00 02 
   758)      8154.4  Rx         0611  8  06 6B 01 06 46 ED ED FE 
   759)      8155.8  Rx         0210  7  FF FF 30 68 90 00 C2 
   760)      8156.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   761)      8158.3  Rx         0359  8  02 00 00 85 00 00 00 00 
   762)      8167.3  Rx         0409  8  18 00 00 00 80 00 00 00 
   763)      8169.8  Rx         0210  7  FF FF 30 68 90 00 C3 
   764)      8170.1  Rx         04B0  8  27 10 27 10 27 10 27 10 
   765)      8183.8  Rx         0210  7  FF FF 30 68 90 00 C4 
   766)      8184.1  Rx         04B0  8  27 10 27 10 27 10 27 10 
   767)      8197.9  Rx         0210  7  FF FF 30 68 90 00 C5 
   768)      8198.1  Rx         04B0  8  27 10 27 10 27 10 27 10 
   769)      8210.7  Rx         0023  1  40 
