Time Stamp,ID,Extended,Bus,DLC,D1,D2,D3,D4,D5,D6,D7,D8
2124510,592,0,1,8,41,0,0,0,0,0,0,0
2124511,199,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124511,19a,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124511,197,0,1,4,8a,2,0e,c0,0,0,0,0
2124512,19f,0,1,6,ff,ff,0,80,ff,8f,0,0
2124512,301,0,1,7,ff,ff,ff,7f,ff,ff,8f,0
2124513,2bb,0,1,5,20,f5,0,0,f2,0,0,0
2124515,2c3,0,1,5,f7,ff,ff,ff,ff,0,0,0
2124516,0ef,0,1,8,25,f1,0,7d,21,0,7d,ff
2124516,0a9,0,1,8,60,77,0,90,f1,0,0,ff
2124516,1a1,0,1,5,9,c6,0,0,88,0,0,0
2124518,3fd,0,1,5,29,1,0,0,ff,0,0,0
2124518,108,0,1,8,0,0,ff,0,0,ff,ff,ff
2124519,0c3,0,1,8,f2,71,0,0,0,0,ff,ff
2124519,201,0,1,8,0,0,0,0,ff,ff,ff,ff
2124519,206,0,1,8,c5,21,42,ff,ff,ff,ff,ff
2124519,1d0,0,1,8,31,f1,df,ff,ff,ff,ff,ff
2124520,1b9,0,1,5,ff,ff,ff,0,ff,0,0,0
2124520,212,0,1,8,31,f1,f8,ff,ff,ff,ff,ff
2124520,2db,0,1,8,ff,ff,ff,ff,3f,ff,ff,ff
2124520,2f1,0,1,8,0,0,0,0,0,0,0,0
2124521,2fa,0,1,8,0,0,0,ff,ff,ff,ff,ff
2124521,32b,0,1,8,0,0,0,0,0,0,0,ff
2124521,331,0,1,8,ff,ff,ff,0f,0,fe,f7,ff
2124521,38c,0,1,2,fc,ff,0,0,0,0,0,0
2124522,3ad,0,1,8,0,f0,ff,ff,ff,ff,ff,f0
2124522,3.00E+05,0,1,3,fc,ff,ff,0,0,0,0,0
2124522,3.00E+08,0,1,2,f0,ff,0,0,0,0,0,0
2124522,3.00E+09,0,1,8,0,0,0,0,0,0,0,0
2124522,41e,0,1,8,ff,ff,ff,ff,ff,ff,ff,ff
2124524,112,0,1,8,ff,ff,ff,ff,ff,7f,f5,ff
2124524,36f,0,1,5,7f,f1,38,0,14,0,0,0
2124525,0a5,0,1,8,53,f2,ff,f7,7f,0,0,c1
2124525,0ac,0,1,2,0,f0,0,0,0,0,0,0
2124525,0d9,0,1,8,f7,f2,0,10,0,f0,7f,c8
2124525,0f3,0,1,8,31,2,0,ff,f0,c0,ff,ff
2124525,100,0,1,8,31,f2,7f,c0,5d,0,0,0
2124526,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2124526,15f,0,1,8,f8,f2,0,7d,0,ee,0,7d
2124526,258,0,1,2,44,44,0,0,0,0,0,0
2124526,2a1,0,1,5,0,58,2,0,f0,0,0,0
2124528,0c3,0,1,8,15,72,0,0,0,0,ff,ff
2124530,3b3,0,1,7,1f,0,ff,0f,0,f3,8,0
2124531,199,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124531,19a,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124531,19f,0,1,6,ff,ff,0,80,ff,8f,0,0
2124534,112,0,1,8,ff,ff,ff,ff,ff,7f,f5,ff
2124534,239,0,1,8,0,ff,ff,ff,ff,1a,ff,ff
2124534,3cb,0,1,4,de,ad,c8,ab,0,0,0,0
2124535,3a5,0,1,5,e1,d5,ff,ff,ff,0,0,0
2124535,100,0,1,8,6c,f3,7f,c0,5d,0,0,0
2124536,0ef,0,1,8,c2,f2,0,7d,21,0,7d,ff
2124536,1a1,0,1,5,94,c7,0,0,88,0,0,0
2124538,0c3,0,1,8,48,73,0,0,0,0,ff,ff
2124539,369,0,1,5,ff,f0,ff,ff,ff,0,0,0
2124541,197,0,1,4,5,3,0e,c0,0,0,0,0
2124544,112,0,1,8,ff,ff,ff,ff,ff,7f,f5,ff
2124544,3a7,0,1,7,d0,f1,0,0,1f,11,f0,0
2124544,2f5,0,1,8,0,0f,0a,20,40,0b,d4,1e
2124545,0a5,0,1,8,0e,f3,ff,f7,7f,0,0,c1
2124545,0ac,0,1,2,0,f0,0,0,0,0,0,0
2124545,0d9,0,1,8,aa,f3,0,10,0,f0,7f,c8
2124545,0f3,0,1,8,6c,3,0,ff,f0,c0,ff,ff
2124545,100,0,1,8,e2,f4,7f,c0,5d,0,0,0
2124546,242,0,1,5,d1,f3,ff,ff,ff,0,0,0
2124546,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2124546,15f,0,1,8,a5,f3,0,7d,0,ee,0,7d
2124546,258,0,1,2,44,44,0,0,0,0,0,0
2124546,2b0,0,1,6,31,3c,0,c5,ff,ff,0,0
2124547,2.00E+06,0,1,8,0,38,64,32,1f,0,1f,26
2124547,302,0,1,7,ff,ff,ff,7f,f8,ff,ff,0
2124547,3.00E+06,0,1,2,54,0,0,0,0,0,0,0
2124548,0c3,0,1,8,c6,74,0,0,0,0,ff,ff
2124550,1ee,0,1,2,0,fc,0,0,0,0,0,0
2124551,199,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124551,19a,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124551,19f,0,1,6,ff,ff,0,80,ff,8f,0,0
2124554,112,0,1,8,ff,ff,ff,ff,ff,7f,f5,ff
2124554,1ae,0,1,2,fb,ff,0,0,0,0,0,0
2124555,100,0,1,8,bf,f5,7f,c0,5d,0,0,0
2124556,0ef,0,1,8,9f,f3,0,7d,21,0,7d,ff
2124556,1a1,0,1,5,61,c9,0,0,88,0,0,0
2124557,3.00E+09,0,1,8,8,52,0,0,0,0,0,0
2124557,201,0,1,8,ff,ff,ff,ff,ff,ff,ff,ff
2124557,2fa,0,1,8,fd,ff,0,ff,ff,ff,ff,ff
2124558,32b,0,1,8,ff,ff,ff,ff,ff,ff,0,ff
2124558,41e,0,1,8,0,0f,cf,ff,ff,ff,ff,ff
2124558,59a,0,1,8,65,1,ff,0,0,0,ff,2
2124558,0c3,0,1,8,9b,75,0,0,0,0,ff,ff
2124559,206,0,1,8,22,22,42,ff,ff,ff,ff,ff
2124559,59a,0,1,8,12,15,0,8,0,10,0,2
2124559,59a,0,1,8,65,1,ff,0,0,0,ff,2
2124561,3f9,0,1,8,5d,f2,80,c0,a6,31,c0,ff
2124561,592,0,1,8,40,0,0,0,ff,ff,ff,ff
2124563,24d,0,1,2,c0,ff,0,0,0,0,0,0
2124563,2a7,0,1,5,10,f0,71,2,14,0,0,0
2124564,112,0,1,8,ff,ff,ff,ff,ff,7f,f5,ff
2124565,0a5,0,1,8,80,f4,ff,f7,7f,0,0,c1
2124565,0ac,0,1,2,0,f0,0,0,0,0,0,0
2124565,0d9,0,1,8,24,f4,0,10,0,f0,7f,c8
2124566,0f3,0,1,8,e2,4,0,ff,f0,c0,ff,ff
2124566,100,0,1,8,58,f6,7f,c0,5d,0,0,0
2124566,15f,0,1,8,2b,f4,0,7d,0,ee,0,7d
2124566,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2124566,258,0,1,2,44,44,0,0,0,0,0,0
2124568,0c3,0,1,8,b1,76,0,0,0,7d,ff,ff
2124571,199,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124571,19a,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124571,19f,0,1,6,ff,ff,0,80,ff,8f,0,0
2124571,197,0,1,4,8f,4,0e,c0,0,0,0,0
2124572,514,0,1,8,0,0,0,0,e0,0a,0,14
2124574,112,0,1,8,ff,ff,ff,ff,ff,7f,f5,ff
2124575,510,0,1,8,40,10,20,0,0,0,0,0
2124576,100,0,1,8,0a,f7,7f,ff,ff,13,80,70
2124576,0ef,0,1,8,11,f4,0,7d,21,0,7d,ff
2124576,1a1,0,1,5,46,cb,0,0,88,0,0,0
2124577,3c0,0,1,8,dd,dd,dd,fd,ff,ff,ff,ff
2124577,3b4,0,1,8,0c,0d,4d,f1,b9,ff,2,fd
2124578,0c0,0,1,2,fb,40,0,0,0,0,0,0
2124578,03c,0,1,8,ff,5f,0,0,0,0,ff,ff
2124578,0c3,0,1,8,ec,77,0,0,0,7d,ff,ff
2124580,349,0,1,5,fe,ff,f4,24,0,0,0,0
2124583,1fa,0,1,8,40,49,5,f0,ff,38,ff,ff
2124584,112,0,1,8,ff,ff,ff,ff,ff,7f,f5,ff
2124584,431,0,1,8,fe,ff,ff,ff,ff,ff,ff,0
2124584,2c5,0,1,7,d5,f1,0,30,6,70,c8,0
2124584,7bd,0,1,8,0,0,0,c0,ff,40,1,1
2124585,7be,0,1,8,5,0,0,0,0,0,0,e0
2124585,592,0,1,8,26,85,f5,2,7,15,ff,ff
2124585,0a5,0,1,8,dd,f5,ff,f7,7f,0,0,c1
2124585,0ac,0,1,2,0,f0,0,0,0,0,0,0
2124586,0d9,0,1,8,79,f5,0,10,0,f0,7f,c8
2124586,0f3,0,1,8,bf,5,0,ff,f0,c0,ff,ff
2124586,100,0,1,8,56,f8,7f,ff,ff,13,80,70
2124586,15f,0,1,8,76,f5,0,7d,0,ee,0,7d
2124587,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2124587,258,0,1,2,44,44,0,0,0,0,0,0
2124587,2c4,0,1,8,0,0,ff,0,c8,64,ff,cf
2124587,302,0,1,7,ff,ff,ff,7f,f8,ff,ff,0
2124587,3.00E+08,0,1,2,f1,ff,0,0,0,0,0,0
2124588,0c3,0,1,8,b0,78,0,0,0,7d,ff,ff
2124591,199,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124591,19a,0,1,6,ff,ff,f3,7e,ff,8f,0,0
