Time Stamp,ID,Extended,Bus,DLC,D1,D2,D3,D4,D5,D6,D7,D8
2130256,1a1,0,1,5,5b,c9,0,0,8a,0,0,0
2130258,0c3,0,1,8,2b,75,0,e0,0,7d,ff,ff
2130263,5.00E+00,0,1,8,11,3,0,2,6,14,d5,1
2130264,112,0,1,8,22,20,45,0f,2,73,75,62
2130265,12f,0,1,8,7,27,86,1a,f1,35,30,0
2130265,0a5,0,1,8,80,f4,ff,f7,7f,0,0,c1
2130265,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130266,0d9,0,1,8,24,f4,0,10,0,f0,7f,c8
2130266,0f3,0,1,8,e2,4,0,ff,f0,c0,ff,ff
2130266,100,0,1,8,4d,f6,7f,c0,5d,a3,87,70
2130266,15f,0,1,8,2b,f4,0,7d,0,ee,0,7d
2130268,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130268,258,0,1,2,44,44,0,0,0,0,0,0
2130268,302,0,1,7,ff,ff,ff,7f,fe,ff,ff,0
2130268,201,0,1,8,2f,0b,2f,0b,ff,ff,ff,ff
2130269,7be,0,1,8,0b,0,0,0,0,0,0,0
2130269,0c3,0,1,8,cc,76,0,e0,0,7d,ff,ff
2130271,199,0,1,6,ff,ff,e9,7e,ff,bf,0,0
2130271,19a,0,1,6,ff,ff,12,7e,ff,3f,0,0
2130271,19f,0,1,6,ff,ff,1b,80,ff,2f,0,0
2130271,197,0,1,4,80,0e,0e,c0,0,0,0,0
2130274,112,0,1,8,23,20,45,0f,2,73,75,62
2130276,100,0,1,8,10,f7,7f,c0,5d,a3,87,70
2130276,0ef,0,1,8,11,f4,0,7d,21,0,7d,ff
2130276,1a1,0,1,5,7c,cb,0,0,8a,0,0,0
2130278,206,0,1,8,f0,2a,42,ff,ff,ff,ff,ff
2130279,0c3,0,1,8,91,77,0,e0,0,7d,ff,ff
2130279,201,0,1,8,33,0b,33,0b,ff,ff,ff,ff
2130280,03c,0,1,8,ff,5f,0,0,0,0,ff,ff
2130284,112,0,1,8,24,20,45,0f,2,73,75,62
2130284,36f,0,1,5,f2,f7,fe,ff,14,0,0,0
2130285,2c4,0,1,8,0,0,ff,0,c8,64,ff,cf
2130285,0a5,0,1,8,dd,f5,ff,f7,7f,0,0,c1
2130285,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130286,0d9,0,1,8,79,f5,0,10,0,f0,7f,c8
2130286,0f3,0,1,8,bf,5,0,ff,f0,c0,ff,ff
2130286,100,0,1,8,4c,f8,7f,c0,5d,a3,87,70
2130286,15f,0,1,8,76,f5,0,7d,0,ee,0,7d
2130287,304,0,1,6,ff,ff,7e,3a,ff,ff,0,0
2130288,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130288,258,0,1,2,44,44,0,0,0,0,0,0
2130288,0c3,0,1,8,cd,78,0,e0,0,7d,ff,ff
2130291,199,0,1,6,ff,ff,f3,7e,ff,bf,0,0
2130291,19a,0,1,6,ff,ff,8,7e,ff,3f,0,0
2130291,19f,0,1,6,ff,ff,1d,80,ff,2f,0,0
2130294,112,0,1,8,24,20,45,0f,2,73,75,62
2130295,100,0,1,8,11,f9,7f,c0,5d,a3,87,70
2130296,0ef,0,1,8,4c,f5,0,7d,21,0,7d,ff
2130296,1a1,0,1,5,15,cd,0,0,8a,0,0,0
2130298,0c3,0,1,8,90,79,0,e0,0,7d,ff,ff
2130300,314,0,1,3,11,2,ff,0,0,0,0,0
2130301,197,0,1,4,89,0,0e,c0,0,0,0,0
2130303,272,0,1,8,d0,f2,1,12,ff,ff,ff,ff
2130303,2c5,0,1,7,35,fe,0,20,6,70,c8,0
2130304,112,0,1,8,25,20,45,0f,2,73,75,62
2130305,0a5,0,1,8,3a,f6,ff,f7,7f,0,0,c1
2130305,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130305,0d9,0,1,8,9e,f6,0,10,0,f0,7f,c8
2130306,0f3,0,1,8,58,6,0,ff,f0,c0,ff,ff
2130306,100,0,1,8,f6,fa,7f,c0,5d,a3,87,70
2130306,15f,0,1,8,91,f6,0,7d,0,ee,0,7d
2130308,163,0,1,8,ff,ff,0,a5,ff,ff,ff,ff
2130308,173,0,1,8,0e,fb,0,0e,30,0,de,10
2130308,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130309,0c3,0,1,8,77,7a,0,e0,0,7d,ff,ff
2130309,258,0,1,2,44,44,0,0,0,0,0,0
2130309,302,0,1,7,ff,ff,ff,7f,fe,ff,ff,0
2130311,199,0,1,6,ff,ff,fd,7e,ff,bf,0,0
2130311,19a,0,1,6,ff,ff,fe,7d,ff,3f,0,0
2130311,19f,0,1,6,ff,ff,f7,7f,ff,2f,0,0
2130311,301,0,1,7,ff,ff,ff,7f,ff,ff,cf,0
2130313,2bb,0,1,5,f3,f0,0,0,f2,0,0,0
2130314,112,0,1,8,25,20,46,0f,2,73,75,62
2130315,100,0,1,8,ab,fb,7f,c0,5d,a3,87,70
2130316,0ef,0,1,8,ab,f6,0,7d,21,0,7d,ff
2130316,0a9,0,1,8,60,77,0,90,f1,0,0,ff
2130316,1a1,0,1,5,5a,c0,0,0,8a,0,0,0
2130318,7bd,0,1,8,0,0,0,c0,ff,c0,1,8
2130318,2.00E+08,0,1,8,c0,18,c5,ff,ff,f4,fe,2
2130318,108,0,1,8,e7,7d,ff,2e,48,f3,ff,ff
2130319,3fd,0,1,5,41,0e,0,0,ff,0,0,0
2130319,0c3,0,1,8,2a,7b,0,e0,0,7d,ff,ff
2130319,206,0,1,8,ad,2b,42,ff,ff,ff,ff,ff
2130319,212,0,1,8,2a,f0,f9,ff,ff,ff,ff,ff
2130320,2db,0,1,8,ff,ff,ff,ff,bf,ff,ff,ff
2130320,2f1,0,1,8,a2,0f,0,0,0,0,0,a0
2130320,32b,0,1,8,ff,ff,ff,ff,ff,ff,0,ff
2130320,331,0,1,8,ff,ff,ff,ef,7f,fe,f7,ff
2130321,3.00E+09,0,1,8,8,52,21,51,4,0,0,5e
2130323,2a7,0,1,5,5d,fc,fe,ff,14,0,0,0
2130324,112,0,1,8,25,20,46,0f,2,73,75,62
2130325,0a5,0,1,8,67,f7,ff,f7,7f,0,0,c1
2130325,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130325,0d9,0,1,8,c3,f7,0,10,0,f0,7f,c8
2130326,0f3,0,1,8,5,7,0,ff,f0,c0,ff,ff
2130326,100,0,1,8,25,fc,7f,c0,5d,a3,87,70
2130326,15f,0,1,8,cc,f7,0,7d,0,ee,0,7d
2130326,2a1,0,1,5,0,58,2,0,f0,0,0,0
2130328,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130328,258,0,1,2,44,44,0,0,0,0,0,0
2130328,0c3,0,1,8,a4,7c,0,e0,0,7d,ff,ff
2130329,201,0,1,8,47,0b,47,0b,ff,ff,ff,ff
2130331,199,0,1,6,ff,ff,e9,7e,ff,bf,0,0
2130331,19a,0,1,6,ff,ff,f4,7d,ff,3f,0,0
2130331,19f,0,1,6,ff,ff,fe,7f,ff,2f,0,0
2130331,197,0,1,4,6,1,0e,c0,0,0,0,0
2130334,112,0,1,8,25,20,46,0f,2,73,75,62
2130334,239,0,1,8,81,ef,3c,28,0,8d,ff,ff
2130335,510,0,1,8,40,10,20,0,0,0,0,0
2130336,100,0,1,8,78,fd,7f,c0,5d,a3,87,70
2130336,0ef,0,1,8,f6,f7,0,7d,21,0,7d,ff
2130337,1a1,0,1,5,7d,c2,0,0,8a,0,0,0
2130338,0c3,0,1,8,f9,7d,0,e0,0,7d,ff,ff
2130344,112,0,1,8,25,20,46,0f,2,73,75,62
2130344,2f5,0,1,8,60,0f,2c,20,22,0a,6,10
2130345,0a5,0,1,8,3b,f8,ff,f7,7f,0,0,c1
2130345,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130345,0d9,0,1,8,9f,f8,0,10,0,f0,7f,c8
2130346,0f3,0,1,8,59,8,0,ff,f0,c0,ff,ff
2130346,100,0,1,8,9f,fe,7f,c0,5d,a3,87,70
2130346,15f,0,1,8,90,f8,0,7d,0,ee,0,7d
2130346,2b0,0,1,6,31,3c,2,c5,ff,ff,0,0
2130348,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130348,258,0,1,2,44,44,0,0,0,0,0,0
2130348,302,0,1,7,ff,ff,ff,7f,fe,ff,ff,0
2130348,0c3,0,1,8,1e,7e,0,e0,0,7d,ff,ff
2130351,199,0,1,6,ff,ff,f3,7e,ff,bf,0,0
2130351,19a,0,1,6,ff,ff,fe,7d,ff,3f,0,0
2130351,19f,0,1,6,ff,ff,0,80,ff,2f,0,0
2130354,112,0,1,8,26,20,46,0f,2,73,75,62
2130354,1ae,0,1,2,fb,ff,0,0,0,0,0,0
2130356,0ef,0,1,8,aa,f8,0,7d,21,0,7d,ff
2130356,100,0,1,8,9e,f0,7f,c0,5d,a3,87,70
2130356,1a1,0,1,5,14,c4,0,0,8a,0,0,0
2130358,206,0,1,8,23,2c,42,ff,ff,ff,ff,ff
2130359,0c3,0,1,8,1f,70,0,e0,0,7d,ff,ff
2130361,197,0,1,4,8a,2,0e,c0,0,0,0,0
2130363,3ca,0,1,8,78,60,30,18,18,31,ff,ff
2130363,36e,0,1,5,3d,f7,fe,ff,14,0,0,0
2130364,112,0,1,8,26,20,46,0f,2,73,75,62
2130365,12f,0,1,8,5b,28,86,1a,f1,35,30,0
2130365,0a5,0,1,8,66,f9,ff,f7,7f,0,0,c1
2130365,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130366,0d9,0,1,8,c2,f9,0,10,0,f0,7f,c8
2130366,0f3,0,1,8,4,9,0,ff,f0,c0,ff,ff
2130366,100,0,1,8,c3,f1,7f,c0,5d,a3,87,70
2130366,15f,0,1,8,cd,f9,0,7d,0,ee,0,7d
2130368,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130368,258,0,1,2,44,44,0,0,0,0,0,0
2130368,0c3,0,1,8,42,71,0,e0,0,7d,ff,ff
2130371,199,0,1,6,ff,ff,f3,7e,ff,bf,0,0
2130371,19a,0,1,6,ff,ff,f4,7d,ff,3f,0,0
2130371,19f,0,1,6,ff,ff,fa,7f,ff,2f,0,0
2130374,112,0,1,8,26,20,46,0f,2,73,75,62
2130376,100,0,1,8,24,f2,7f,c0,5d,a3,87,70
2130376,0ef,0,1,8,f7,f9,0,7d,21,0,7d,ff
2130376,1a1,0,1,5,33,c6,0,0,8a,0,0,0
2130378,0c3,0,1,8,a5,72,0,e0,0,7d,ff,ff
2130379,201,0,1,8,5b,0b,5b,0b,ff,ff,ff,ff
2130380,2f0,0,1,3,35,dd,f0,0,0,0,0,0
2130380,0c0,0,1,2,fa,40,0,0,0,0,0,0
2130380,03c,0,1,8,ff,5f,0,0,0,0,ff,ff
2130380,2f9,0,1,7,0,0,0,8,81,c0,f3,0
2130380,1d6,0,1,2,f0,c0,0,0,0,0,0,0
2130381,349,0,1,5,fe,ff,f4,24,0,0,0,0
2130383,337,0,1,2,ff,ff,0,0,0,0,0,0
2130383,3b4,0,1,8,0c,0d,4d,f4,ba,ff,2,0
2130384,112,0,1,8,26,20,46,0f,2,73,75,62
2130384,431,0,1,8,ca,ff,54,0,11,2c,f3,4b
2130385,2c4,0,1,8,0,0,ff,0,c8,64,ff,cf
2130385,0a5,0,1,8,81,fa,ff,f7,7f,0,0,c1
2130385,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130386,0d9,0,1,8,25,fa,0,10,0,f0,7f,c8
2130386,0f3,0,1,8,e3,0a,0,ff,f0,c0,ff,ff
2130386,100,0,1,8,79,f3,7f,c0,5d,a3,87,70
2130386,15f,0,1,8,2a,fa,0,7d,0,ee,0,7d
2130388,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130388,258,0,1,2,44,44,0,0,0,0,0,0
2130388,302,0,1,7,ff,ff,ff,7f,fe,ff,ff,0
2130388,0c3,0,1,8,f8,73,0,e0,0,7d,ff,ff
2130391,199,0,1,6,ff,ff,e9,7e,ff,bf,0,0
2130391,19a,0,1,6,ff,ff,f4,7d,ff,3f,0,0
2130391,19f,0,1,6,ff,ff,0a,80,ff,2f,0,0
2130391,197,0,1,4,5,3,0e,c0,0,0,0,0
2130394,112,0,1,8,25,20,46,0f,2,73,75,62
2130394,432,0,1,8,5c,f4,10,a6,c7,ff,0,ff
2130394,297,0,1,7,45,e3,f0,e0,f2,92,ea,0
2130395,1.00E+01,0,1,6,df,f0,0,ff,ff,ff,0,0
2130395,100,0,1,8,f7,f4,7f,c0,5d,a3,87,70
2130396,0ef,0,1,8,10,fa,0,7d,21,0,7d,ff
2130397,1a1,0,1,5,c6,c8,0,0,8a,0,0,0
2130398,206,0,1,8,7e,2d,42,ff,ff,ff,ff,ff
2130399,0c3,0,1,8,76,74,0,e0,0,7d,ff,ff
2130403,2a7,0,1,5,c0,fd,fe,ff,14,0,0,0
2130403,2c5,0,1,7,b6,f0,0,20,6,70,c8,0
2130403,51a,0,1,8,0,0,0,0,50,0,0,1a
2130404,112,0,1,8,26,20,46,0f,2,73,75,62
2130405,0a5,0,1,8,dc,fb,ff,f7,7f,0,0,c1
2130405,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130405,0d9,0,1,8,78,fb,0,10,0,f0,7f,c8
2130406,0f3,0,1,8,be,0b,0,ff,f0,c0,ff,ff
2130406,100,0,1,8,aa,f5,7f,c0,5d,a3,87,70
2130406,15f,0,1,8,77,fb,0,7d,0,ee,0,7d
2130408,163,0,1,8,ff,ff,0,a5,ff,ff,ff,ff
2130408,173,0,1,8,e8,f6,0,0e,30,0,de,10
2130408,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130409,0c3,0,1,8,2b,75,0,e0,0,7d,ff,ff
2130409,258,0,1,2,44,44,0,0,0,0,0,0
2130411,199,0,1,6,ff,ff,f3,7e,ff,bf,0,0
2130411,19a,0,1,6,ff,ff,fe,7d,ff,3f,0,0
2130411,19f,0,1,6,ff,ff,fa,7f,ff,2f,0,0
2130413,2bb,0,1,5,48,fa,0,0,f2,0,0,0
2130414,112,0,1,8,25,20,46,0f,2,73,75,62
2130415,100,0,1,8,4d,f6,7f,c0,5d,a3,87,70
2130416,0ef,0,1,8,4d,fb,0,7d,21,0,7d,ff
2130416,0a9,0,1,8,60,77,0,90,f1,0,0,ff
2130416,1a1,0,1,5,e1,ca,0,0,8a,0,0,0
2130418,2.00E+08,0,1,8,c0,18,c5,ff,ff,f4,f0,a4
2130418,7bd,0,1,8,0,0,0,c0,ff,c0,1,8
2130418,108,0,1,8,e7,7d,ff,2e,48,f3,ff,ff
2130419,3fd,0,1,5,b4,0,0,0,ff,0,0,0
2130419,7be,0,1,8,5,0,0,0,0,0,0,e0
2130419,0c3,0,1,8,cc,76,0,e0,0,7d,ff,ff
2130419,212,0,1,8,77,f1,f9,ff,ff,ff,ff,ff
2130420,2db,0,1,8,ff,ff,ff,ff,bf,ff,ff,ff
2130420,2f1,0,1,8,a2,0f,0,0,0,0,0,a0
2130421,197,0,1,4,8f,4,0e,c0,0,0,0,0
2130424,112,0,1,8,25,20,46,0f,2,73,75,62
2130425,0a5,0,1,8,52,fc,ff,f7,7f,0,0,c1
2130425,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130425,0d9,0,1,8,f6,fc,0,10,0,f0,7f,c8
2130426,0f3,0,1,8,30,0c,0,ff,f0,c0,ff,ff
2130426,100,0,1,8,10,f7,7f,c0,5d,a3,87,70
2130426,15f,0,1,8,f9,fc,0,7d,0,ee,0,7d
2130426,2a1,0,1,5,0,58,2,0,f0,0,0,0
2130428,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130428,258,0,1,2,44,44,0,0,0,0,0,0
2130428,302,0,1,7,ff,ff,ff,7f,fe,ff,ff,0
2130428,0c3,0,1,8,91,77,0,e0,0,7d,ff,ff
2130429,201,0,1,8,70,0b,70,0b,ff,ff,ff,ff
2130431,199,0,1,6,ff,ff,e9,7e,ff,bf,0,0
2130431,19a,0,1,6,ff,ff,fe,7d,ff,3f,0,0
2130431,19f,0,1,6,ff,ff,7,80,ff,2f,0,0
2130434,112,0,1,8,25,20,46,0f,2,73,75,62
2130436,100,0,1,8,4c,f8,7f,c0,5d,a3,87,70
2130436,0ef,0,1,8,c3,fc,0,7d,21,0,7d,ff
2130436,397,0,1,7,0,2b,0,97,1,1f,0,0
2130437,1a1,0,1,5,88,cc,0,0,8a,0,0,0
2130438,206,0,1,8,99,2e,42,ff,ff,ff,ff,ff
2130439,0c3,0,1,8,cd,78,0,e0,0,7d,ff,ff
2130443,2f5,0,1,8,60,0f,33,20,22,0a,6,10
2130444,112,0,1,8,25,20,46,0f,2,73,75,62
2130444,36f,0,1,5,9a,f8,fe,ff,14,0,0,0
2130445,0a5,0,1,8,0f,fd,ff,f7,7f,0,0,c1
2130445,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130446,0d9,0,1,8,ab,fd,0,10,0,f0,7f,c8
2130446,0f3,0,1,8,6d,0d,0,ff,f0,c0,ff,ff
2130446,100,0,1,8,11,f9,7f,c0,5d,a3,87,70
2130446,15f,0,1,8,a4,fd,0,7d,0,ee,0,7d
2130446,2b0,0,1,6,31,3c,2,c5,ff,ff,0,0
2130447,3.00E+09,0,1,8,8,52,21,41,4,0,0,5e
2130448,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130448,258,0,1,2,44,44,0,0,0,0,0,0
2130448,0c3,0,1,8,90,79,0,e0,0,7d,ff,ff
2130450,540,0,1,8,0,0,0,0,0c,30,ff,40
2130451,199,0,1,6,ff,ff,fd,7e,ff,bf,0,0
2130451,19a,0,1,6,ff,ff,f4,7d,ff,3f,0,0
2130451,19f,0,1,6,ff,ff,f6,7f,ff,2f,0,0
2130451,197,0,1,4,0,5,0e,c0,0,0,0,0
2130454,112,0,1,8,25,20,46,0f,2,73,75,62
2130454,1ae,0,1,2,fb,ff,0,0,0,0,0,0
2130456,100,0,1,8,f6,fa,7f,c0,5d,a3,87,70
2130456,0ef,0,1,8,9e,fd,0,7d,21,0,7d,ff
2130456,1a1,0,1,5,af,ce,0,0,8a,0,0,0
2130458,0c3,0,1,8,77,7a,0,e0,0,7d,ff,ff
2130460,314,0,1,3,11,2,ff,0,0,0,0,0
2130463,5.00E+00,0,1,8,11,4,0,3,3,14,d4,0
2130464,112,0,1,8,26,20,46,0f,2,73,75,62
2130464,2f5,0,1,8,60,0f,33,20,22,0a,6,10
2130465,12f,0,1,8,6,29,86,1a,f1,35,30,0
2130465,0a5,0,1,8,e8,fe,ff,f7,7f,0,0,c1
2130465,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130466,0d9,0,1,8,4c,fe,0,10,0,f0,7f,c8
2130466,0f3,0,1,8,8a,0e,0,ff,f0,c0,ff,ff
2130466,100,0,1,8,ab,fb,7f,c0,5d,a3,87,70
2130466,15f,0,1,8,43,fe,0,7d,0,ee,0,7d
2130468,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130468,258,0,1,2,44,44,0,0,0,0,0,0
2130468,302,0,1,7,ff,ff,ff,7f,fe,ff,ff,0
2130468,0c3,0,1,8,2a,7b,0,e0,0,7d,ff,ff
2130469,7bd,0,1,8,1,2d,54,7f,4a,5b,5b,0
2130469,7be,0,1,8,0c,41,0c,6c,0,0,0,0
2130470,3b3,0,1,7,1f,0,4,0,0,f3,8,0
2130471,199,0,1,6,ff,ff,e9,7e,ff,bf,0,0
2130471,19a,0,1,6,ff,ff,f4,7d,ff,3f,0,0
2130471,19f,0,1,6,ff,ff,2,80,ff,2f,0,0
2130474,112,0,1,8,26,20,46,0f,2,73,75,62
2130476,100,0,1,8,25,fc,7f,c0,5d,a3,87,70
2130476,0ef,0,1,8,79,fe,0,7d,21,0,7d,ff
2130476,1a1,0,1,5,c7,c1,0,0,8a,0,0,0
2130478,206,0,1,8,98,20,42,ff,ff,ff,ff,ff
2130479,246,0,1,5,3f,fb,0,ff,ff,0,0,0
2130479,0c3,0,1,8,a4,7c,0,e0,0,7d,ff,ff
2130479,299,0,1,6,ff,ff,ff,ff,ff,0,0,0
2130479,201,0,1,8,84,0b,84,0b,ff,ff,ff,ff
2130480,03c,0,1,8,ff,5f,0,0,0,0,ff,ff
2130481,197,0,1,4,8c,6,0e,c0,0,0,0,0
2130483,2a7,0,1,5,7a,fe,fe,ff,14,0,0,0
2130484,112,0,1,8,26,20,46,0f,2,73,75,62
2130485,2.00E+07,0,1,8,9b,c8,4,f7,56,5c,0,0
2130485,2c4,0,1,8,0,0,ff,0,c8,64,ff,cf
2130485,0a5,0,1,8,e9,f0,ff,f7,7f,0,0,c1
2130485,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130486,0d9,0,1,8,4d,f0,0,10,0,f0,7f,c8
2130486,0f3,0,1,8,8b,0,0,ff,f0,c0,ff,ff
2130486,100,0,1,8,78,fd,7f,c0,5d,a3,87,70
2130486,15f,0,1,8,42,f0,0,7d,0,ee,0,7d
2130487,304,0,1,6,ff,ff,80,3a,ff,ff,0,0
2130487,3f9,0,1,8,8a,fa,80,e0,36,31,c3,ff
2130488,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130488,258,0,1,2,44,44,0,0,0,0,0,0
2130488,0c3,0,1,8,f9,7d,0,e0,0,7d,ff,ff
2130489,3.00E+09,0,1,8,8,52,21,21,4,0,0,5e
2130491,199,0,1,6,ff,ff,f3,7e,ff,bf,0,0
2130491,19a,0,1,6,ff,ff,e0,7d,ff,3f,0,0
2130491,19f,0,1,6,ff,ff,5,80,ff,2f,0,0
2130494,112,0,1,8,26,20,46,0f,2,73,75,62
2130496,100,0,1,8,9f,fe,7f,c0,5d,a3,87,70
2130496,0ef,0,1,8,78,f0,0,7d,21,0,7d,ff
2130496,1a1,0,1,5,e0,c3,0,0,8a,0,0,0
2130498,0c3,0,1,8,1e,7e,0,e0,0,7d,ff,ff
2130503,239,0,1,8,31,ef,3c,28,0,8d,ff,ff
2130503,19d,0,1,8,82,c8,91,6,ff,ff,ff,ff
2130503,272,0,1,8,8d,f3,1,12,ff,ff,ff,ff
2130503,2c5,0,1,7,f0,f1,0,20,6,70,c8,0
2130503,2ca,0,1,2,5e,5e,0,0,0,0,0,0
2130504,2f7,0,1,6,2,d8,49,9,11,f1,0,0
2130504,112,0,1,8,26,20,46,0f,2,73,75,62
2130505,0a5,0,1,8,b4,f1,ff,f7,7f,0,0,c1
2130505,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130505,0d9,0,1,8,10,f1,0,10,0,f0,7f,c8
2130506,0f3,0,1,8,d6,1,0,ff,f0,c0,ff,ff
2130506,100,0,1,8,9e,f0,7f,c0,5d,a3,87,70
2130506,15f,0,1,8,1f,f1,0,7d,0,ee,0,7d
2130508,163,0,1,8,ff,ff,0,a5,ff,ff,ff,ff
2130508,173,0,1,8,66,f1,0,0e,30,0,de,10
2130508,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130509,0c3,0,1,8,1f,70,0,e0,0,7d,ff,ff
2130509,258,0,1,2,44,44,0,0,0,0,0,0
2130509,2ed,0,1,3,ef,8,2,0,0,0,0,0
2130509,302,0,1,7,ff,ff,ff,7f,fe,ff,ff,0
2130511,199,0,1,6,ff,ff,f3,7e,ff,bf,0,0
2130511,19a,0,1,6,ff,ff,f4,7d,ff,3f,0,0
2130511,19f,0,1,6,ff,ff,f4,7f,ff,2f,0,0
2130511,301,0,1,7,ff,ff,ff,7f,ff,ff,cf,0
2130512,197,0,1,4,3,7,0e,c0,0,0,0,0
2130513,2bb,0,1,5,20,f5,0,0,f2,0,0,0
2130514,112,0,1,8,26,20,46,0f,2,73,75,62
2130515,100,0,1,8,c3,f1,7f,c0,5d,a3,87,70
2130516,0ef,0,1,8,25,f1,0,7d,21,0,7d,ff
2130516,0a9,0,1,8,60,77,0,90,f1,0,0,ff
2130516,1a1,0,1,5,89,c5,0,0,8a,0,0,0
2130518,7bd,0,1,8,0,0,0,c0,ff,c0,1,8
2130518,7be,0,1,8,7,0b,0,86,6,67,0,0
2130519,108,0,1,8,df,7d,ff,2e,48,f3,ff,ff
2130519,2.00E+08,0,1,8,c0,18,c5,ff,ff,f4,f1,b9
2130519,3fd,0,1,5,29,1,0,0,ff,0,0,0
2130519,0c3,0,1,8,42,71,0,e0,0,7d,ff,ff
2130519,201,0,1,8,94,0b,94,0b,ff,ff,ff,ff
2130520,206,0,1,8,c5,21,42,ff,ff,ff,ff,ff
2130520,212,0,1,8,90,f2,f9,ff,ff,ff,ff,ff
2130520,2db,0,1,8,ff,ff,ff,ff,bf,ff,ff,ff
2130520,2f1,0,1,8,a2,0f,0,0,0,0,0,a0
2130521,2fa,0,1,8,fd,ff,1,ff,ff,ff,ff,ff
2130521,32b,0,1,8,ff,ff,ff,ff,ff,ff,0,ff
2130521,1d0,0,1,8,e2,f7,df,ff,ff,ff,ff,ff
2130521,1b9,0,1,5,ff,ff,ff,14,ff,0,0,0
2130522,331,0,1,8,ff,ff,ff,ef,7f,fe,f7,ff
2130522,3ad,0,1,8,0,f0,ff,ff,ff,ff,ff,f6
2130522,3.00E+08,0,1,2,f1,ff,0,0,0,0,0,0
2130522,3.00E+09,0,1,8,8,52,21,21,4,0,0,5e
2130522,41e,0,1,8,0,0f,cf,ff,ff,ff,ff,ff
2130523,36e,0,1,5,55,f8,fe,ff,14,0,0,0
2130524,112,0,1,8,26,20,46,0f,2,73,75,62
2130525,0a5,0,1,8,53,f2,ff,f7,7f,0,0,c1
2130525,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130526,0d9,0,1,8,f7,f2,0,10,0,f0,7f,c8
2130526,0f3,0,1,8,31,2,0,ff,f0,c0,ff,ff
2130526,100,0,1,8,24,f2,7f,c0,5d,a3,87,70
2130526,15f,0,1,8,f8,f2,0,7d,0,ee,0,7d
2130526,2a1,0,1,5,0,58,2,0,f0,0,0,0
2130528,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130528,258,0,1,2,44,44,0,0,0,0,0,0
2130528,0c3,0,1,8,a5,72,0,e0,0,7d,ff,ff
2130529,201,0,1,8,98,0b,98,0b,ff,ff,ff,ff
2130531,199,0,1,6,ff,ff,e9,7e,ff,bf,0,0
2130531,19a,0,1,6,ff,ff,8,7e,ff,3f,0,0
2130531,19f,0,1,6,ff,ff,fb,7f,ff,2f,0,0
2130534,112,0,1,8,26,20,46,0f,2,73,75,62
2130535,100,0,1,8,79,f3,7f,c0,5d,a3,87,70
2130536,0ef,0,1,8,c2,f2,0,7d,21,0,7d,ff
2130536,1a1,0,1,5,ae,c7,0,0,8a,0,0,0
2130538,0c3,0,1,8,f8,73,0,e0,0,7d,ff,ff
2130541,197,0,1,4,85,8,0e,c0,0,0,0,0
2130544,112,0,1,8,26,20,46,0f,2,73,75,62
2130544,239,0,1,8,31,ef,3c,28,0,8d,ff,ff
2130544,2f5,0,1,8,60,0f,33,20,22,0a,6,10
2130545,0a5,0,1,8,0e,f3,ff,f7,7f,0,0,c1
2130545,0ac,0,1,2,0,f0,0,0,0,0,0,0
2130545,0d9,0,1,8,aa,f3,0,10,0,f0,7f,c8
2130546,0f3,0,1,8,6c,3,0,ff,f0,c0,ff,ff
2130546,100,0,1,8,f7,f4,7f,c0,5d,a3,87,70
2130546,15f,0,1,8,a5,f3,0,7d,0,ee,0,7d
2130546,2b0,0,1,6,31,3c,2,c5,ff,ff,0,0
2130548,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2130548,258,0,1,2,44,44,0,0,0,0,0,0
2130548,302,0,1,7,ff,ff,ff,7f,fe,ff,ff,0
2130548,0c3,0,1,8,76,74,0,e0,0,7d,ff,ff
